day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,9,447.0,10,10,0
2,White,2,5,6.0,10,8,15,67.0,16,10,0
2,Pink,1,3,2.6,8,6,12,23.5,13,9,0
2,Red,6,11,33.966,10,10,13,1400.0,9,12,10
2,Yellow,3,7,20.0,8,8,11,1380.0,9,8,10
2,Blue,7,10,42.0,10,10,12,332.0,11,12,10
2,Green,3,6,6.2,8,6,9,213.0,6,7,0
2,Orange,7,7,10.0,6,6,6,143.0,5,7,10
3,Purple,5,6,37.6,10,10,11,447.0,11,11,0
3,White,2,5,6.0,10,8,17,67.0,17,11,0
3,Pink,1,2,2.6,8,6,16,23.5,18,10,0
3,Red,6,12,33.932034,10,10,13,1400.0,9,13,10
3,Yellow,3,7,20.0,8,8,12,1380.0,10,8,10
3,Blue,7,10,42.0,10,10,14,332.0,12,14,10
3,Green,3,6,6.2,8,6,13,213.0,10,9,0
3,Orange,7,8,9.99,6,6,6,143.0,5,7,10
4,Purple,5,6,37.6,10,10,11,447.0,11,11,0
4,White,2,6,6.0,10,8,18,67.0,17,12,0
4,Pink,1,1,2.6,8,6,20,23.5,23,12,0
4,Red,6,13,33.898101966,10,10,13,1400.0,9,14,10
4,Yellow,3,7,20.0,8,8,13,1380.0,11,8,10
4,Blue,7,10,42.0,10,10,16,332.0,13,16,10
4,Green,3,6,6.2,8,6,15,213.0,12,11,0
4,Orange,7,9,9.98001,6,6,5,143.0,5,7,10
5,Purple,5,6,37.6,10,10,11,447.0,11,12,0
5,White,2,7,5.994,10,8,19,67.0,16,14,0
5,Pink,1,0,2.6,8,6,24,23.5,28,14,0
5,Red,6,14,33.864203864033996,10,10,13,1400.0,9,15,10
5,Yellow,3,7,20.4,9,9,13,1380.0,13,8,10
5,Blue,7,10,42.0,10,10,17,332.0,13,18,10
5,Green,3,6,6.2,8,6,17,213.0,14,14,0
5,Orange,7,11,10.169430589800001,7,7,5,143.0,8,7,10
6,Purple,5,6,37.6,10,10,12,447.0,11,14,0
6,White,2,7,5.994,10,8,21,67.0,16,16,0
6,Pink,1,0,2.6,8,6,28,23.5,33,16,0
6,Red,6,15,34.50694645337336,11,11,13,1400.0,11,16,10
6,Yellow,3,7,20.4,9,9,13,1380.0,13,8,10
6,Blue,7,10,42.0,10,10,18,332.0,13,20,10
6,Green,3,6,6.2,8,6,19,213.0,16,17,0
6,Orange,7,12,10.362446382394406,8,8,5,143.0,10,7,10
7,Purple,5,6,37.6,10,10,14,447.0,12,15,0
7,White,2,7,5.994,10,8,24,67.0,17,18,0
7,Pink,1,0,2.6,8,6,32,23.5,38,18,0
