day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,11,447.0,11,10,0
2,White,2,6,6.0,10,8,12,67.0,11,11,10
2,Pink,1,4,2.6,8,6,9,23.5,9,8,0
2,Red,6,10,34.0,10,10,11,1400.0,7,10,10
2,Yellow,3,7,20.4,9,9,10,1380.0,10,10,10
2,Blue,7,10,42.0,10,10,15,332.0,14,11,10
2,Green,3,6,6.324000000000001,9,7,8,213.0,8,6,0
2,Orange,7,6,10.0,6,6,6,143.0,5,7,10
3,Purple,5,7,37.562400000000004,10,10,13,447.0,13,11,0
3,White,2,6,6.0,10,8,15,67.0,15,12,10
3,Pink,1,4,2.652,9,7,10,23.5,12,8,0
3,Red,6,10,34.68,11,11,11,1400.0,9,10,10
3,Yellow,3,7,20.808,10,10,13,1380.0,14,12,10
3,Blue,7,10,42.0,10,10,20,332.0,18,12,10
3,Green,3,6,6.5794896000000005,11,9,8,213.0,12,6,0
3,Orange,7,6,10.2,7,7,5,143.0,6,7,10
4,Purple,5,8,38.27533435200001,11,11,14,447.0,16,12,0
4,White,2,6,6.0,10,8,16,67.0,16,12,10
4,Pink,1,5,2.6493480000000003,9,7,11,23.5,13,9,0
4,Red,6,10,34.68,11,11,11,1400.0,9,10,10
4,Yellow,3,7,21.22416,11,11,14,1380.0,17,12,10
4,Blue,7,11,41.958,10,10,24,332.0,22,12,10
4,Green,3,6,6.84530097984,13,11,8,213.0,16,7,0
4,Orange,7,7,10.1898,7,7,5,143.0,6,7,10
5,Purple,5,9,39.00180019800097,12,12,16,447.0,19,14,0
5,White,2,7,5.994,10,8,18,67.0,19,13,10
5,Pink,1,6,2.6996326250400005,10,8,12,23.5,16,11,0
5,Red,6,10,34.68,11,11,11,1400.0,9,11,10
5,Yellow,3,7,21.648643200000002,12,12,16,1380.0,21,12,10
5,Blue,7,11,41.958,10,10,29,332.0,27,12,10
5,Green,3,6,7.264288162214047,16,14,8,213.0,22,7,0
5,Orange,7,8,10.1796102,7,7,4,143.0,5,7,10
6,Purple,5,10,39.74205436575903,13,13,17,447.0,22,15,0
6,White,2,8,5.9880059999999995,10,8,20,67.0,21,14,10
6,Pink,1,6,2.6996326250400005,10,8,13,23.5,17,11,0
6,Red,6,10,34.68,11,11,11,1400.0,9,12,10
6,Yellow,3,7,22.523248385280002,14,14,17,1380.0,26,12,10
6,Blue,7,12,41.916042,10,10,34,332.0,32,13,10
6,Green,3,6,7.7089207120468455,19,17,8,213.0,28,7,0
6,Orange,7,8,10.1796102,7,7,4,143.0,5,7,10
7,Purple,5,11,40.496358557621136,14,14,18,447.0,25,16,0
