day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,12,447.0,11,11,0
2,White,2,6,6.0,10,8,12,67.0,12,11,10
2,Pink,1,4,2.6,8,6,10,23.5,10,8,0
2,Red,6,10,34.68,11,11,9,1400.0,7,11,10
2,Yellow,3,7,20.0,8,8,10,1380.0,8,8,10
2,Blue,7,10,42.0,10,10,10,332.0,12,10,10
2,Green,3,6,6.2,8,6,9,213.0,7,6,0
2,Orange,7,8,10.1898,7,7,6,143.0,3,7,10
3,Purple,5,6,37.6,10,10,14,447.0,12,12,0
3,White,2,6,6.12,11,9,13,67.0,15,12,10
3,Pink,1,4,2.652,9,7,13,23.5,15,9,0
3,Red,6,11,36.044990928000004,13,13,8,1400.0,10,11,10
3,Yellow,3,7,20.4,9,9,12,1380.0,11,9,10
3,Blue,7,10,42.0,10,10,10,332.0,14,10,10
3,Green,3,6,6.2,8,6,10,213.0,8,6,0
3,Orange,7,9,10.383202404,8,8,5,143.0,4,7,10
4,Purple,5,6,37.6,10,10,14,447.0,12,12,0
4,White,2,6,6.12,11,9,13,67.0,15,12,10
4,Pink,1,4,2.7050400000000003,10,8,16,23.5,20,9,0
4,Red,6,12,36.008945937072006,13,13,7,1400.0,9,11,10
4,Yellow,3,7,20.4,9,9,13,1380.0,12,9,10
4,Blue,7,10,42.0,10,10,10,332.0,16,10,10
4,Green,3,6,6.324000000000001,9,7,13,213.0,13,6,0
4,Orange,7,9,10.383202404,8,8,4,143.0,3,8,10
5,Purple,5,6,38.352000000000004,11,11,14,447.0,14,12,0
5,White,2,6,6.2424,12,10,14,67.0,18,13,10
5,Pink,1,4,2.7591408000000004,11,9,18,23.5,24,9,0
5,Red,6,12,37.46370735292972,15,15,6,1400.0,12,11,10
5,Yellow,3,7,20.808,10,10,14,1380.0,15,9,10
5,Blue,7,10,42.0,10,10,11,332.0,18,11,10
5,Green,3,6,6.5794896000000005,11,9,16,213.0,20,7,0
5,Orange,7,10,10.372819201596,8,8,3,143.0,2,9,10
6,Purple,5,6,39.119040000000005,12,12,15,447.0,17,12,0
6,White,2,6,6.49459296,14,12,15,67.0,23,14,10
6,Pink,1,4,2.9280222900864006,14,12,20,23.5,32,9,0
6,Red,6,13,38.93826388885809,17,17,5,1400.0,15,11,10
6,Yellow,3,7,21.22416,11,11,16,1380.0,19,9,10
6,Blue,7,10,42.0,10,10,12,332.0,20,12,10
6,Green,3,6,6.84530097984,13,11,18,213.0,26,8,0
6,Orange,7,11,10.569695310042293,9,9,2,143.0,3,10,10
7,Purple,5,6,39.901420800000004,13,13,15,447.0,19,12,0
