day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,12,447.0,12,10,0
2,White,2,6,6.0,10,8,14,67.0,14,10,10
2,Pink,1,4,2.6,8,6,10,23.5,10,8,0
2,Red,6,10,35.3736,12,12,10,1400.0,10,10,10
2,Yellow,3,7,20.4,9,9,8,1380.0,8,8,10
2,Blue,7,10,42.0,10,10,13,332.0,13,10,10
2,Green,3,6,6.324000000000001,9,7,8,213.0,8,6,0
2,Orange,7,6,10.0,6,6,6,143.0,6,8,10
3,Purple,5,7,37.224000000000004,9,9,19,447.0,17,13,0
3,White,2,7,6.0,10,8,17,67.0,15,14,10
3,Pink,1,4,2.6,8,6,12,23.5,12,8,0
3,Red,6,10,36.802693440000006,14,14,10,1400.0,14,10,10
3,Yellow,3,8,20.808,10,10,10,1380.0,12,10,10
3,Blue,7,10,42.0,10,10,18,332.0,18,13,10
3,Green,3,6,6.5794896000000005,11,9,8,213.0,12,6,0
3,Orange,7,8,9.884106000000001,5,5,4,143.0,3,9,10
4,Purple,5,8,37.186776,9,9,20,447.0,18,14,0
4,White,2,7,6.0,10,8,18,67.0,16,14,10
4,Pink,1,4,2.6,8,6,12,23.5,12,8,0
4,Red,6,10,37.538747308800005,15,15,10,1400.0,16,10,10
4,Yellow,3,8,21.648643200000002,12,12,10,1380.0,16,11,10
4,Blue,7,10,42.0,10,10,20,332.0,22,14,10
4,Green,3,6,6.982206999436801,14,12,8,213.0,18,6,0
4,Orange,7,9,9.874221894000001,5,5,3,143.0,2,10,10
5,Purple,5,8,37.93051152,10,10,22,447.0,22,14,0
5,White,2,8,6.11388,11,9,23,67.0,23,14,10
5,Pink,1,4,2.652,9,7,13,23.5,15,8,0
5,Red,6,10,39.83641895407704,18,18,12,1400.0,24,10,10
5,Yellow,3,8,22.9737133529856,15,15,10,1380.0,22,12,10
5,Blue,7,11,42.79716,11,11,22,332.0,26,15,10
5,Green,3,6,8.344383697609606,23,21,8,213.0,36,6,0
5,Orange,7,9,10.071706331880002,6,6,3,143.0,4,11,10
6,Purple,5,9,37.89258100848,10,10,25,447.0,25,14,0
6,White,2,7,6.11388,11,9,28,67.0,30,14,0
6,Pink,1,4,2.652,9,7,13,23.5,15,8,0
6,Red,6,11,42.23245175893277,21,21,12,1400.0,30,10,10
6,Yellow,3,8,23.433187620045313,16,16,11,1380.0,25,13,10
6,Blue,7,11,42.79716,11,11,25,332.0,30,15,10
6,Green,3,6,8.855126734972895,26,24,8,213.0,42,6,0
6,Orange,7,9,10.273140458517602,7,7,2,143.0,5,11,10
