day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,5,37.6,10,10,11,447.0,11,10,0
2,White,2,6,6.0,10,8,11,67.0,10,11,10
2,Pink,1,4,2.652,9,7,8,23.5,10,8,0
2,Red,6,10,34.0,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.4,9,9,9,1380.0,9,9,10
2,Blue,7,10,42.0,10,10,10,332.0,10,10,10
2,Green,3,6,6.450480000000001,10,8,8,213.0,10,6,0
2,Orange,7,6,10.0,6,6,6,143.0,5,7,10
3,Purple,5,5,37.6,10,10,12,447.0,12,10,0
3,White,2,7,5.994,10,8,12,67.0,11,12,10
3,Pink,1,4,2.652,9,7,8,23.5,10,8,0
3,Red,6,11,33.966,10,10,10,1400.0,6,11,10
3,Yellow,3,7,20.4,9,9,9,1380.0,9,10,10
3,Blue,7,10,42.0,10,10,10,332.0,10,10,10
3,Green,3,6,6.450480000000001,10,8,8,213.0,10,6,0
3,Orange,7,6,10.0,6,6,6,143.0,5,7,10
4,Purple,5,5,37.6,10,10,13,447.0,13,10,0
4,White,2,8,5.9880059999999995,10,8,13,67.0,12,12,10
4,Pink,1,4,2.7050400000000003,10,8,8,23.5,12,8,0
4,Red,6,12,34.61067468,11,11,10,1400.0,8,11,10
4,Yellow,3,7,21.22416,11,11,9,1380.0,13,10,10
4,Blue,7,10,42.0,10,10,10,332.0,10,11,10
4,Green,3,6,6.711079392,12,10,8,213.0,14,7,0
4,Orange,7,7,9.99,6,6,6,143.0,5,8,10
5,Purple,5,5,37.6,10,10,14,447.0,14,10,0
5,White,2,10,5.982017994,10,8,15,67.0,15,13,10
5,Pink,1,4,2.7050400000000003,10,8,8,23.5,12,8,0
5,Red,6,13,35.2675852854264,12,12,11,1400.0,11,13,10
5,Yellow,3,7,21.648643200000002,12,12,9,1380.0,15,10,10
5,Blue,7,11,43.6968,12,12,11,332.0,16,11,10
5,Green,3,6,6.982206999436801,14,12,8,213.0,18,7,0
5,Orange,7,8,9.98001,6,6,7,143.0,5,10,10
6,Purple,5,5,37.6,10,10,14,447.0,14,10,0
6,White,2,11,5.976035976005999,10,8,15,67.0,15,14,10
6,Pink,1,4,2.7050400000000003,10,8,8,23.5,12,8,0
6,Red,6,14,35.232317700140975,12,12,12,1400.0,12,15,10
6,Yellow,3,8,21.626994556800003,12,12,9,1380.0,15,11,10
6,Blue,7,11,43.6968,12,12,11,332.0,16,12,10
6,Green,3,7,6.975224792437364,14,12,8,213.0,18,8,0
6,Orange,7,9,9.97002999,6,6,8,143.0,5,11,10
7,Purple,5,5,37.6,10,10,17,447.0,17,10,0
