day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,11,447.0,10,11,0
2,White,2,6,6.0,10,8,11,67.0,11,10,10
2,Pink,1,4,2.652,9,7,8,23.5,10,8,0
2,Red,6,10,34.0,10,10,10,1400.0,6,11,10
2,Yellow,3,7,20.808,10,10,8,1380.0,10,8,10
2,Blue,7,10,42.0,10,10,12,332.0,12,12,10
2,Green,3,6,6.450480000000001,10,8,8,213.0,10,6,0
2,Orange,7,8,10.1898,7,7,7,143.0,9,8,10
3,Purple,5,6,37.6,10,10,15,447.0,13,14,0
3,White,2,5,6.12,11,9,16,67.0,17,13,0
3,Pink,1,4,2.7591408000000004,11,9,8,23.5,14,8,0
3,Red,6,10,35.3736,12,12,10,1400.0,10,11,10
3,Yellow,3,7,21.22416,11,11,8,1380.0,12,8,10
3,Blue,7,10,42.0,10,10,15,332.0,14,16,10
3,Green,3,6,6.84530097984,13,11,8,213.0,16,6,0
3,Orange,7,9,10.383202404,8,8,7,143.0,11,9,10
4,Purple,5,6,38.352000000000004,11,11,18,447.0,17,17,0
4,White,2,6,6.11388,11,9,18,67.0,17,16,0
4,Pink,1,4,2.9865827358881285,15,13,8,23.5,22,8,0
4,Red,6,11,35.3382264,12,12,11,1400.0,10,12,10
4,Yellow,3,7,23.433187620045313,16,16,8,1380.0,22,8,10
4,Blue,7,10,42.0,10,10,18,332.0,16,19,10
4,Green,3,6,7.409573925458329,17,15,8,213.0,24,6,0
4,Orange,7,10,10.791881097340479,10,10,8,143.0,16,11,10
5,Purple,5,6,39.119040000000005,12,12,22,447.0,21,22,0
5,White,2,6,6.2361576,12,10,22,67.0,21,20,0
5,Pink,1,5,3.1041334377395913,17,15,8,23.5,26,9,0
5,Red,6,12,36.008945937072006,13,13,11,1400.0,12,12,10
5,Yellow,3,7,24.86748616789305,19,19,8,1380.0,28,8,10
5,Blue,7,10,42.0,10,10,22,332.0,18,24,10
5,Green,3,6,8.020361108813539,21,19,8,213.0,32,7,0
5,Orange,7,11,11.216645220579363,12,12,8,143.0,20,12,10
6,Purple,5,7,39.07992096,12,12,26,447.0,23,26,0
6,White,2,6,6.360880752000001,13,11,26,67.0,25,24,0
6,Pink,1,6,3.1630498903878888,18,16,8,23.5,28,10,0
6,Red,6,13,36.692395730957635,14,14,11,1400.0,14,12,10
6,Yellow,3,7,25.872132609075926,21,21,8,1380.0,32,8,10
6,Blue,7,10,42.0,10,10,26,332.0,20,28,10
6,Green,3,7,8.502760100190237,24,22,8,213.0,38,7,0
6,Orange,7,12,11.658127889803277,14,14,8,143.0,24,13,10
