day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,4,35.72,10,9,12,446.553,12,11,0
2,White,2,7,6.0,10,8,12,67.0,13,11,10
2,Pink,1,4,2.6,8,6,10,23.5,10,9,0
2,Red,6,11,33.966,10,10,11,1400.0,7,11,10
2,Yellow,3,7,20.4,9,9,8,1380.0,8,8,10
2,Blue,7,11,42.84,11,11,12,332.0,15,11,10
2,Green,3,4,6.2,8,6,13,213.0,12,8,0
2,Orange,7,6,9.99,6,6,8,143.0,0,7,10
3,Purple,5,6,35.68428,10,9,14,446.553,14,13,0
3,White,2,8,5.994,10,8,14,67.0,14,13,10
3,Pink,1,5,2.5974,8,6,10,23.5,10,9,0
3,Red,6,12,34.61067468,11,11,12,1400.0,11,12,10
3,Yellow,3,8,20.808,10,10,8,1380.0,11,9,10
3,Blue,7,12,42.797160000000005,11,11,14,332.0,17,13,10
3,Green,3,4,6.2,8,6,13,213.0,12,8,0
3,Orange,7,8,9.99,6,6,8,143.0,1,7,10
4,Purple,5,9,35.64859572,10,9,18,446.553,18,17,0
4,White,2,10,5.9880059999999995,10,8,16,67.0,16,16,10
4,Pink,1,7,2.5948026,8,6,10,23.5,11,9,0
4,Red,6,13,34.57606400532,11,11,13,1400.0,13,13,10
4,Yellow,3,10,20.787192,10,10,8,1380.0,12,9,10
4,Blue,7,14,42.754362840000006,11,11,17,332.0,20,16,10
4,Green,3,6,6.1938,8,6,13,213.0,13,8,0
4,Orange,7,11,9.98001,6,6,8,143.0,3,7,10
5,Purple,5,10,33.832299768066,10,8,22,446.106447,24,19,0
5,White,2,12,5.982017994,10,8,20,67.0,20,19,10
5,Pink,1,9,2.5948026,8,6,13,23.5,16,10,0
5,Red,6,17,34.57606400532,11,11,14,1400.0,18,14,10
5,Yellow,3,13,20.766404808,10,10,8,1380.0,14,10,10
5,Blue,7,19,42.711608477160006,11,11,21,332.0,27,20,10
5,Green,3,9,6.1876062,8,6,14,213.0,15,9,0
5,Orange,7,13,9.96005996001,6,6,8,143.0,2,7,10
6,Purple,5,13,33.798467468297936,10,8,28,446.106447,28,25,0
6,White,2,14,5.976035976005999,10,8,21,67.0,22,20,10
6,Pink,1,9,2.5948026,8,6,13,23.5,16,10,0
6,Red,6,20,34.54148794131468,11,11,15,1400.0,22,15,10
6,Yellow,3,16,20.745638403192,10,10,8,1380.0,16,10,10
6,Blue,7,20,42.66889686868284,11,11,22,332.0,28,22,10
6,Green,3,9,6.1876062,8,6,15,213.0,16,10,0
6,Orange,7,16,9.95009990004999,6,6,8,143.0,4,7,10
