day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,4,35.72,10,9,11,446.553,15,9,0
2,White,2,6,6.0,10,8,13,67.0,13,11,10
2,Pink,1,2,2.4699999999999998,8,5,7,23.4765,9,7,0
2,Red,6,10,33.966,10,10,10,1400.0,3,11,10
2,Yellow,3,10,19.98,8,8,11,1380.0,9,8,10
2,Blue,7,11,41.958,10,10,12,332.0,12,11,10
2,Green,3,6,6.2,8,6,11,213.0,9,6,0
2,Orange,7,6,9.98001,6,6,6,143.0,2,7,10
3,Purple,5,3,33.900066,10,8,14,446.106447,18,12,0
3,White,2,7,5.994,10,8,17,67.0,16,12,10
3,Pink,1,3,2.4675299999999996,8,5,9,23.4765,12,9,0
3,Red,6,13,33.864203864033996,10,10,10,1400.0,3,11,10
3,Yellow,3,11,19.96002,8,8,14,1380.0,12,9,10
3,Blue,7,11,41.958,10,10,15,332.0,14,14,10
3,Green,3,6,6.2,8,6,13,213.0,11,6,0
3,Orange,7,7,9.96005996001,6,6,6,143.0,0,7,10
4,Purple,5,0,29.361965864778004,11,3,12,437.18431806,23,14,0
4,White,2,9,5.9880059999999995,10,8,19,67.0,17,15,10
4,Pink,1,4,2.4650624699999995,8,5,11,23.4765,14,11,0
4,Red,6,15,33.79650932050979,10,10,10,1400.0,4,11,10
4,Yellow,3,12,20.338861179600002,9,9,16,1380.0,16,9,10
4,Blue,7,13,41.916042,10,10,19,332.0,18,18,10
4,Green,3,7,6.1938,8,6,17,213.0,15,6,0
4,Orange,7,5,9.85059890104949,6,1,2,142.857,2,4,10
5,Purple,5,1,29.332603898913227,11,3,21,437.18431806,31,18,0
5,White,2,10,5.976035976005999,10,8,24,67.0,19,16,10
5,Pink,1,5,2.4625974075299992,8,5,13,23.4765,16,12,0
5,Red,6,17,33.72895009837809,10,10,12,1400.0,6,11,10
5,Yellow,3,13,20.318522318420403,9,9,26,1380.0,25,12,10
5,Blue,7,16,41.874125958,10,10,27,332.0,26,24,10
5,Green,3,8,6.1876062,8,6,23,213.0,20,7,0
5,Orange,7,5,9.339362176153978,6,0,3,142.714143,5,3,10
6,Purple,5,2,30.487123455332892,13,5,26,437.18431806,39,21,0
6,White,2,13,6.089461138830593,11,9,31,67.0,28,19,10
6,Pink,1,6,2.460134810122469,8,5,18,23.4765,21,14,0
6,Red,6,18,33.695221148279714,10,10,12,1400.0,6,12,10
6,Yellow,3,14,21.118251229464505,11,11,31,1380.0,34,13,10
6,Blue,7,17,41.832251832042,10,10,31,332.0,28,28,10
6,Green,3,11,6.1814185938,8,6,28,213.0,27,7,0
