day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,7,37.6,10,10,16,447.0,15,12,0
2,White,2,7,6.0,10,8,13,67.0,13,12,10
2,Pink,1,4,2.6,8,6,12,23.5,11,12,0
2,Red,6,10,34.0,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.0,8,8,11,1380.0,9,10,10
2,Blue,7,13,41.958,10,10,12,332.0,14,11,10
2,Green,3,7,6.2,8,6,10,213.0,9,6,0
2,Orange,7,7,9.99,6,6,5,143.0,4,8,10
3,Purple,5,7,37.6,10,10,20,447.0,18,13,0
3,White,2,7,6.12,11,9,16,67.0,18,12,10
3,Pink,1,4,2.652,9,7,13,23.5,13,13,0
3,Red,6,13,33.966,10,10,10,1400.0,8,10,10
3,Yellow,3,9,19.98,8,8,13,1380.0,11,12,10
3,Blue,7,16,41.832251832042,10,10,15,332.0,17,13,10
3,Green,3,9,6.450480000000001,10,8,12,213.0,17,7,0
3,Orange,7,8,9.98001,6,6,8,143.0,8,9,10
4,Purple,5,10,37.562400000000004,10,10,22,447.0,21,15,0
4,White,2,8,6.12,11,9,19,67.0,21,14,10
4,Pink,1,4,2.652,9,7,17,23.5,16,15,0
4,Red,6,14,33.932034,10,10,11,1400.0,9,11,10
4,Yellow,3,10,19.96002,8,8,16,1380.0,16,13,10
4,Blue,7,19,41.79041958020996,10,10,18,332.0,23,14,10
4,Green,3,12,6.444029520000001,10,8,13,213.0,21,7,0
4,Orange,7,9,9.97002999,6,6,7,143.0,9,9,10
5,Purple,5,11,37.562400000000004,10,10,23,447.0,23,16,0
5,White,2,9,6.12,11,9,23,67.0,24,17,10
5,Pink,1,5,2.652,9,7,19,23.5,19,16,0
5,Red,6,15,33.898101966,10,10,12,1400.0,11,11,10
5,Yellow,3,11,19.94005998,8,8,16,1380.0,17,13,10
5,Blue,7,22,41.74862916062975,10,10,21,332.0,27,17,10
5,Green,3,13,6.437585490480001,10,8,14,213.0,23,8,0
5,Orange,7,10,9.96005996001,6,6,7,143.0,11,9,10
6,Purple,5,12,37.90752333120001,10,10,23,447.0,27,17,0
6,White,2,12,5.9304635999999995,9,7,22,67.0,24,17,10
6,Pink,1,6,2.6493480000000003,9,7,20,23.5,19,17,0
6,Red,6,17,33.83033966016996,10,10,13,1400.0,12,11,10
6,Yellow,3,11,20.338861179600002,9,9,18,1380.0,21,14,10
6,Blue,7,25,42.5410181420985,11,11,22,332.0,33,17,10
6,Green,3,13,6.437585490480001,10,8,15,213.0,23,10,0
6,Orange,7,11,9.752092912038997,4,4,8,143.0,14,10,10
