day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,2,34.612680000000005,11,9,9,446.106447,15,9,0
2,White,2,6,5.694299999999999,10,7,11,66.933,13,11,10
2,Pink,1,4,2.652,9,7,11,23.5,12,10,0
2,Red,6,9,33.898101966,10,10,10,1400.0,3,12,10
2,Yellow,3,7,20.808,10,10,9,1380.0,11,8,10
2,Blue,7,13,43.653103200000004,12,12,10,332.0,16,13,10
2,Green,3,6,6.2,8,6,8,213.0,6,6,0
2,Orange,7,6,9.98001,6,6,6,143.0,3,7,10
3,Purple,5,0,31.237943700000002,11,7,10,445.21468021244704,18,11,0
3,White,2,8,5.688605699999999,10,7,13,66.933,15,13,10
3,Pink,1,5,2.6493480000000003,9,7,13,23.5,14,13,0
3,Red,6,10,33.864203864033996,10,10,9,1400.0,3,13,10
3,Yellow,3,8,20.787192,10,10,10,1380.0,11,10,10
3,Blue,7,16,43.5658406467032,12,12,10,332.0,17,13,10
3,Green,3,8,6.2,8,6,9,213.0,9,7,0
3,Orange,7,5,9.95009990004999,6,6,6,143.0,1,7,10
4,Purple,5,0,29.676046515,11,6,10,444.76946553223456,19,12,0
4,White,2,10,5.6829170943,10,7,14,66.933,16,15,10
4,Pink,1,6,2.6466986520000004,9,7,16,23.5,17,16,0
4,Red,6,10,33.864203864033996,10,10,10,1400.0,4,15,10
4,Yellow,3,10,20.787192,10,10,10,1380.0,13,11,10
4,Blue,7,18,43.47875253125044,12,12,9,332.0,17,14,10
4,Green,3,10,6.1938,8,6,9,213.0,10,7,0
4,Orange,7,5,9.93020965034979,6,6,6,143.0,4,7,10
5,Purple,5,0,26.782631979787496,11,4,10,443.8803713706356,24,13,0
5,White,2,9,5.393372468345414,10,6,15,66.866067,19,17,10
5,Pink,1,7,2.6466986520000004,9,7,19,23.5,21,19,0
5,Red,6,9,33.76271281118928,10,10,10,1400.0,0,16,10
5,Yellow,3,12,20.787192,10,10,11,1380.0,15,12,10
5,Blue,7,21,43.43527377871919,12,12,9,332.0,19,15,10
5,Green,3,13,6.1876062,8,6,9,213.0,12,7,0
5,Orange,7,5,9.910359161258741,6,6,6,143.0,2,7,10
6,Purple,5,0,24.640021421404498,11,0,5,177.55214854825425,30,13,0
6,White,2,11,5.387979095877069,10,6,16,66.866067,21,18,10
6,Pink,1,9,2.6466986520000004,9,7,21,23.5,24,21,0
6,Red,6,10,33.72895009837809,10,8,5,1400.0,2,16,10
6,Yellow,3,14,20.787192,10,10,14,1380.0,18,16,10
6,Blue,7,26,43.348446666435535,12,12,9,332.0,22,17,10
6,Green,3,13,6.1876062,8,6,9,213.0,12,7,0
