day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,10,447.0,9,11,0
2,White,2,6,6.0,10,8,11,67.0,10,11,10
2,Pink,1,5,2.652,9,7,9,23.5,12,9,0
2,Red,6,12,33.966,10,10,11,1400.0,9,11,10
2,Yellow,3,7,21.648643200000002,12,12,9,1380.0,14,9,10
2,Blue,7,11,43.6968,12,12,10,332.0,16,11,10
2,Green,3,8,6.444029520000001,10,8,10,213.0,12,10,0
2,Orange,7,7,10.1898,7,7,6,143.0,9,7,10
3,Purple,5,6,38.352000000000004,11,11,10,447.0,11,11,0
3,White,2,9,6.11388,11,9,10,67.0,13,11,10
3,Pink,1,5,2.7050400000000003,10,8,10,23.5,16,9,0
3,Red,6,13,33.932034,10,10,11,1400.0,10,12,10
3,Yellow,3,9,22.500725136894722,14,14,9,1380.0,19,9,10
3,Blue,7,13,46.3713937344,15,15,9,332.0,23,13,10
3,Green,3,8,6.704368312608001,12,10,10,213.0,16,10,0
3,Orange,7,8,10.1796102,7,7,6,143.0,13,9,10
4,Purple,5,7,38.352000000000004,11,11,9,447.0,11,11,0
4,White,2,12,6.10776612,11,9,9,67.0,14,12,10
4,Pink,1,7,2.7563816592000006,11,9,10,23.5,19,9,0
4,Red,6,14,33.898101966,10,10,11,1400.0,10,12,10
4,Yellow,3,11,23.40975443242527,16,16,9,1380.0,25,9,10
4,Blue,7,15,47.298821609088,16,16,8,332.0,27,14,10
4,Green,3,8,6.704368312608001,12,10,10,213.0,16,10,0
4,Orange,7,9,10.169430589800001,7,7,8,143.0,20,12,10
5,Purple,5,10,38.313648,11,11,8,447.0,12,11,0
5,White,2,13,6.223691520957599,12,10,10,67.0,18,14,10
5,Pink,1,8,2.7563816592000006,11,9,10,23.5,20,9,0
5,Red,6,15,33.864203864033996,10,10,11,1400.0,11,13,10
5,Yellow,3,13,24.331153002983758,18,18,9,1380.0,30,9,10
5,Blue,7,17,47.298821609088,16,16,7,332.0,29,15,10
5,Green,3,9,6.838455678860162,13,11,10,213.0,19,10,0
5,Orange,7,11,10.159261159210201,7,7,7,143.0,23,15,10
6,Purple,5,13,39.07992096,12,12,7,447.0,15,12,0
6,White,2,16,6.217467829436642,12,10,9,67.0,20,16,10
6,Pink,1,11,2.8086977830916164,12,10,10,23.5,25,9,0
6,Red,6,16,33.83033966016996,10,10,11,1400.0,13,13,10
6,Yellow,3,16,24.306821849980775,18,18,10,1380.0,33,10,10
6,Blue,7,19,49.209694002095155,18,18,6,332.0,35,16,10
6,Green,3,12,7.107614558997827,15,13,12,213.0,27,13,0
