day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,38.352000000000004,11,11,15,447.0,17,12,0
2,White,2,7,5.994,10,8,15,67.0,14,12,10
2,Pink,1,4,2.6,8,6,10,23.5,9,9,0
2,Red,6,11,33.966,10,10,12,1400.0,8,10,10
2,Yellow,3,8,19.98,8,8,8,1380.0,6,8,10
2,Blue,7,10,43.6968,12,12,13,332.0,17,11,10
2,Green,3,8,6.3176760000000005,9,7,9,213.0,5,6,10
2,Orange,7,7,9.99,6,6,6,143.0,5,7,10
3,Purple,5,7,39.861519379200004,13,13,18,447.0,24,12,0
3,White,2,7,6.2361576,12,10,16,67.0,19,12,10
3,Pink,1,5,2.5974,8,6,12,23.5,11,9,0
3,Red,6,12,33.932034,10,10,14,1400.0,10,10,10
3,Yellow,3,9,19.96002,8,8,11,1380.0,9,8,10
3,Blue,7,12,43.6968,12,12,16,332.0,22,12,10
3,Green,3,8,6.444029520000001,10,8,11,213.0,9,7,10
3,Orange,7,8,10.1796102,7,7,7,143.0,8,7,10
4,Purple,5,8,39.8216578598208,13,13,20,447.0,26,12,0
4,White,2,7,6.2361576,12,10,18,67.0,21,13,10
4,Pink,1,8,2.5948026,8,6,13,23.5,14,9,0
4,Red,6,12,34.61067468,11,11,16,1400.0,14,10,10
4,Yellow,3,10,20.338861179600002,9,9,12,1380.0,12,9,10
4,Blue,7,13,43.653103200000004,12,12,17,332.0,23,14,10
4,Green,3,9,6.697663944295393,12,10,14,213.0,16,7,10
4,Orange,7,10,10.169430589800001,7,7,9,143.0,11,7,10
5,Purple,5,8,42.25906189410472,16,16,22,447.0,34,12,0
5,White,2,7,6.360880752000001,13,11,20,67.0,25,13,10
5,Pink,1,9,2.5922077974,8,6,15,23.5,16,10,0
5,Red,6,12,34.61067468,11,11,16,1400.0,14,12,10
5,Yellow,3,11,21.13939062008459,11,11,15,1380.0,19,10,10
5,Blue,7,15,44.481639098736004,13,13,18,332.0,27,14,10
5,Green,3,12,7.242517083327606,16,14,15,213.0,27,7,10
5,Orange,7,13,10.372819201596002,8,8,10,143.0,17,7,10
6,Purple,5,9,43.92236166663192,18,18,24,447.0,40,13,0
6,White,2,10,6.354519871248001,13,11,21,67.0,28,14,10
6,Pink,1,9,2.69693299241496,10,8,18,23.5,23,11,0
6,Red,6,14,34.57606400532,11,11,17,1400.0,16,13,10
6,Yellow,3,11,21.562178432486284,12,12,20,1380.0,26,10,10
6,Blue,7,16,44.43715745963727,13,13,23,332.0,32,15,10
6,Green,3,14,7.387367424994157,17,15,18,213.0,34,8,10
