day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,8,38.31364800000001,11,11,13,447.0,16,10,0
2,White,2,5,6.12,11,9,15,67.0,17,11,0
2,Pink,1,4,2.652,9,7,12,23.5,13,9,0
2,Red,6,11,34.645320000000005,11,11,11,1400.0,9,11,10
2,Yellow,3,8,20.808,10,10,8,1380.0,11,8,10
2,Blue,7,11,42.0,10,10,13,332.0,14,12,10
2,Green,3,8,6.1938,8,6,11,213.0,10,6,0
2,Orange,7,7,9.99,6,6,6,143.0,5,9,10
3,Purple,5,9,39.82165785982081,13,13,15,447.0,22,13,0
3,White,2,5,6.367248,13,11,16,67.0,22,13,0
3,Pink,1,4,2.7050400000000003,10,8,14,23.5,17,10,0
3,Red,6,11,35.3382264,12,12,16,1400.0,14,14,10
3,Yellow,3,8,20.808,10,10,9,1380.0,12,9,10
3,Blue,7,12,43.653103200000004,12,12,14,332.0,19,13,10
3,Green,3,8,6.444029520000001,10,8,12,213.0,15,7,0
3,Orange,7,8,9.98001,6,6,6,143.0,5,11,10
4,Purple,5,9,40.61809101701723,14,14,18,447.0,27,14,0
4,White,2,5,6.367248,13,11,18,67.0,24,15,0
4,Pink,1,4,2.7050400000000003,10,8,16,23.5,19,11,0
4,Red,6,13,35.3028881736,12,12,18,1400.0,17,15,10
4,Yellow,3,9,21.202935840000002,11,11,13,1380.0,18,10,10
4,Blue,7,12,43.653103200000004,12,12,16,332.0,20,16,10
4,Green,3,9,6.437585490480001,10,8,15,213.0,18,9,0
4,Orange,7,9,9.97002999,6,6,9,143.0,8,12,10
5,Purple,5,10,42.216802832210625,16,16,20,447.0,33,14,0
5,White,2,5,6.49459296,14,12,20,67.0,28,16,0
5,Pink,1,4,2.7591408000000004,11,9,19,23.5,24,12,0
5,Red,6,14,35.97293699113494,13,13,19,1400.0,20,16,10
5,Yellow,3,9,22.059534447936002,13,13,14,1380.0,23,11,10
5,Blue,7,13,43.6094500968,12,12,17,332.0,21,17,10
5,Green,3,10,6.82478560595812,13,11,17,213.0,26,11,0
5,Orange,7,10,9.96005996001,6,6,14,143.0,13,13,10
6,Purple,5,10,43.92236166663194,18,18,21,447.0,38,14,0
6,White,2,5,6.6244848192,15,13,24,67.0,34,17,0
6,Pink,1,4,2.8143236160000002,12,10,22,23.5,30,13,0
6,Red,6,15,35.9369640541438,13,13,20,1400.0,21,17,10
6,Yellow,3,9,22.500725136894722,14,14,16,1380.0,27,12,10
6,Blue,7,14,44.43715745963727,13,13,18,332.0,24,18,10
6,Green,3,11,7.093406437494389,15,13,19,213.0,32,13,0
