day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,7,37.562400000000004,10,10,13,447.0,13,10,0
2,White,2,7,5.994,10,8,12,67.0,12,11,10
2,Pink,1,6,2.5974,8,6,10,23.5,11,8,0
2,Red,6,11,33.966,10,10,12,1400.0,8,10,10
2,Yellow,3,8,20.787192,10,10,8,1380.0,10,8,10
2,Blue,7,10,43.6968,12,12,14,332.0,17,12,10
2,Green,3,7,6.444029520000001,10,8,9,213.0,11,7,0
2,Orange,7,8,9.99,6,6,6,143.0,6,8,10
3,Purple,5,8,37.524837600000005,10,10,16,447.0,16,11,0
3,White,2,8,5.9880059999999995,10,8,16,67.0,15,12,10
3,Pink,1,6,2.5974,8,6,13,23.5,14,8,0
3,Red,6,11,34.645320000000005,11,11,13,1400.0,12,10,10
3,Yellow,3,9,21.605367562243202,12,12,10,1380.0,15,10,10
3,Blue,7,11,44.52616526400001,13,13,17,332.0,22,13,10
3,Green,3,7,6.572910110400001,11,9,11,213.0,15,8,0
3,Orange,7,9,10.1898,7,7,7,143.0,9,9,10
4,Purple,5,8,38.27533435200001,11,11,16,447.0,19,12,0
4,White,2,8,5.9880059999999995,10,8,18,67.0,17,13,10
4,Pink,1,7,2.5948026,8,6,17,23.5,18,8,0
4,Red,6,11,36.044990928000004,13,13,15,1400.0,18,11,10
4,Yellow,3,9,22.478224411757825,14,14,12,1380.0,21,12,10
4,Blue,7,12,44.481639098736004,13,13,20,332.0,25,14,10
4,Green,3,8,6.572910110400001,11,9,13,213.0,17,10,0
4,Orange,7,10,10.393596,8,8,8,143.0,12,10,10
5,Purple,5,6,36.361567634400004,11,10,19,446.553,24,12,0
5,White,2,8,5.9880059999999995,10,8,22,67.0,21,14,10
5,Pink,1,8,2.646698652,9,7,22,23.5,25,9,0
5,Red,6,12,36.008945937072006,13,13,17,1400.0,20,12,10
5,Yellow,3,9,22.927788899992983,15,15,14,1380.0,26,13,10
5,Blue,7,11,45.41664315259143,14,13,20,332.0,30,11,10
5,Green,3,8,6.704368312608001,12,10,15,213.0,21,11,0
5,Orange,7,9,10.383202404,8,8,8,143.0,8,12,10
6,Purple,5,2,31.493953659885776,12,5,17,437.62194,29,13,0
6,White,2,8,5.9880059999999995,10,8,23,67.0,23,16,10
6,Pink,1,10,2.644051953348,9,7,24,23.5,28,9,0
6,Red,6,12,36.729124855813446,14,14,19,1400.0,24,12,10
6,Yellow,3,10,23.36295833331485,16,16,15,1380.0,29,14,10
6,Blue,7,11,44.96247672106552,13,12,22,332.0,31,13,10
6,Green,3,10,6.704368312608001,12,10,16,213.0,24,12,0
