day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,38.352000000000004,11,11,14,447.0,16,10,0
2,White,2,7,5.994,10,8,14,67.0,14,10,10
2,Pink,1,4,2.652,9,7,13,23.5,14,9,0
2,Red,6,11,33.966,10,10,10,1400.0,6,10,10
2,Yellow,3,9,19.98,8,8,9,1380.0,8,8,10
2,Blue,7,11,42.0,10,10,16,332.0,16,11,10
2,Green,3,8,6.1938,8,6,8,213.0,7,6,0
2,Orange,7,6,10.0,6,6,7,143.0,7,8,10
3,Purple,5,8,38.313648,11,11,17,447.0,20,10,0
3,White,2,7,5.994,10,8,18,67.0,18,10,10
3,Pink,1,5,2.7023349600000004,10,8,16,23.5,19,10,0
3,Red,6,11,33.966,10,10,12,1400.0,8,11,10
3,Yellow,3,10,20.3592204,9,9,11,1380.0,12,8,10
3,Blue,7,12,41.958,10,10,18,332.0,18,11,10
3,Green,3,10,6.1876062,8,6,10,213.0,10,7,0
3,Orange,7,7,9.99,6,6,10,143.0,10,8,10
4,Purple,5,9,39.040841039040004,12,12,20,447.0,25,11,0
4,White,2,8,5.9880059999999995,10,8,20,67.0,20,10,10
4,Pink,1,5,2.7563816592000006,11,9,17,23.5,22,11,0
4,Red,6,12,33.932034,10,10,14,1400.0,10,11,10
4,Yellow,3,10,20.766404808,10,10,14,1380.0,17,9,10
4,Blue,7,12,41.958,10,10,20,332.0,20,12,10
4,Green,3,11,6.305046965676,9,7,13,213.0,15,8,0
4,Orange,7,8,9.98001,6,6,12,143.0,12,8,10
5,Purple,5,10,40.577472926000205,14,14,24,447.0,33,12,0
5,White,2,8,5.9880059999999995,10,8,21,67.0,23,13,10
5,Pink,1,5,2.8115092923840006,12,10,18,23.5,25,12,0
5,Red,6,13,33.898101966,10,10,16,1400.0,12,11,10
5,Yellow,3,10,21.18173290416,11,11,17,1380.0,22,10,10
5,Blue,7,12,41.958,10,10,22,332.0,22,13,10
5,Green,3,11,6.431147904989521,10,8,17,213.0,21,9,0
5,Orange,7,8,10.1796102,7,7,12,143.0,14,8,10
6,Purple,5,11,41.34763336213569,15,15,26,447.0,37,13,0
6,White,2,9,5.982017994,10,8,23,67.0,25,14,10
6,Pink,1,5,2.8115092923840006,12,10,22,23.5,29,13,0
6,Red,6,13,34.57606400532,11,11,20,1400.0,18,12,10
6,Yellow,3,13,21.16055117125584,11,11,20,1380.0,27,11,10
6,Blue,7,13,42.75436284,11,11,25,332.0,27,14,10
6,Green,3,11,6.5597708630893115,11,9,18,213.0,24,10,0
6,Orange,7,9,10.169430589800001,7,7,15,143.0,17,9,10
