day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,7,37.562400000000004,10,10,16,447.0,15,11,0
2,White,2,6,6.12,11,9,15,67.0,17,10,10
2,Pink,1,4,2.652,9,7,10,23.5,12,9,0
2,Red,6,11,34.0,10,10,12,1400.0,9,10,10
2,Yellow,3,8,20.4,9,9,8,1380.0,9,8,10
2,Blue,7,11,42.84,11,11,14,332.0,18,10,10
2,Green,3,7,6.1938,8,6,10,213.0,8,6,0
2,Orange,7,7,9.99,6,6,5,143.0,4,8,10
3,Purple,5,7,37.562400000000004,10,10,17,447.0,16,12,0
3,White,2,7,6.11388,11,9,17,67.0,19,10,10
3,Pink,1,5,2.6493480000000003,9,7,12,23.5,14,9,0
3,Red,6,12,34.64532,11,11,13,1400.0,12,10,10
3,Yellow,3,8,20.4,9,9,11,1380.0,13,8,10
3,Blue,7,12,43.6968,12,12,16,332.0,23,11,10
3,Green,3,8,6.1876062,8,6,12,213.0,11,6,0
3,Orange,7,8,9.98001,6,6,6,143.0,5,8,10
4,Purple,5,8,37.562400000000004,10,10,19,447.0,14,13,10
4,White,2,8,6.2299214424,12,10,19,67.0,23,10,10
4,Pink,1,5,2.6493480000000003,9,7,13,23.5,15,10,0
4,Red,6,13,35.302888173599996,12,12,16,1400.0,17,10,10
4,Yellow,3,8,20.4,9,9,15,1380.0,17,9,10
4,Blue,7,12,43.6968,12,12,19,332.0,26,12,10
4,Green,3,10,6.1814185938,8,6,13,213.0,13,7,0
4,Orange,7,10,9.97002999,6,6,7,143.0,7,8,10
5,Purple,5,8,37.562400000000004,10,10,22,447.0,16,15,10
5,White,2,9,6.348165351376752,13,11,22,67.0,28,11,10
5,Pink,1,6,2.6466986520000004,9,7,16,23.5,18,11,0
5,Red,6,14,36.72912485581344,14,14,19,1400.0,25,11,10
5,Yellow,3,9,20.3796,9,9,18,1380.0,20,9,10
5,Blue,7,12,43.6968,12,12,20,332.0,27,14,10
5,Green,3,11,6.1814185938,8,6,16,213.0,12,7,10
5,Orange,7,11,10.1592611592102,7,6,5,143.0,9,6,10
6,Purple,5,8,37.562400000000004,10,10,26,447.0,20,17,10
6,White,2,10,6.341817186025375,13,11,26,67.0,32,12,10
6,Pink,1,7,2.6466986520000004,9,7,20,23.5,23,12,0
6,Red,6,14,38.2129814999883,16,16,21,1400.0,31,12,10
6,Yellow,3,10,20.766404808,10,10,22,1380.0,26,10,10
6,Blue,7,13,43.653103200000004,12,12,25,332.0,32,17,10
6,Green,3,11,6.305046965676,9,7,21,213.0,19,8,10
6,Orange,7,12,10.1592611592102,7,6,6,143.0,11,7,10
