day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,12,447.0,12,10,0
2,White,2,7,5.994,10,8,12,67.0,12,10,10
2,Pink,1,4,2.652,9,7,11,23.5,13,8,0
2,Red,6,10,34.0,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.4,9,9,8,1380.0,8,9,10
2,Blue,7,10,42.0,10,10,12,332.0,13,10,10
2,Green,3,7,6.1938,8,6,9,213.0,7,6,0
2,Orange,7,8,9.99,6,6,5,143.0,5,7,10
3,Purple,5,7,38.31364800000001,11,11,15,447.0,17,10,0
3,White,2,7,5.994,10,8,15,67.0,15,10,10
3,Pink,1,5,2.6493480000000003,9,7,13,23.5,15,8,0
3,Red,6,10,34.68,11,11,11,1400.0,9,11,10
3,Yellow,3,8,20.3796,9,9,9,1380.0,9,10,10
3,Blue,7,11,41.958,10,10,14,332.0,15,11,10
3,Green,3,8,6.1876062,8,6,14,213.0,12,6,0
3,Orange,7,8,9.99,6,6,5,143.0,5,9,10
4,Purple,5,7,39.07992096000001,12,12,17,447.0,21,11,0
4,White,2,8,6.10776612,11,9,17,67.0,19,11,10
4,Pink,1,6,2.6996326250400005,10,8,17,23.5,21,9,0
4,Red,6,10,35.3736,12,12,13,1400.0,13,11,10
4,Yellow,3,9,20.3592204,9,9,12,1380.0,12,11,10
4,Blue,7,11,41.958,10,10,17,332.0,18,12,10
4,Green,3,9,6.1814185938,8,6,16,213.0,14,7,0
4,Orange,7,8,9.99,6,6,7,143.0,7,10,10
5,Purple,5,7,39.07992096000001,12,12,20,447.0,24,12,0
5,White,2,8,6.10776612,11,9,18,67.0,20,13,10
5,Pink,1,7,2.6969329924149603,10,8,19,23.5,22,11,0
5,Red,6,11,36.044990928000004,13,13,17,1400.0,19,12,10
5,Yellow,3,10,20.338861179600002,9,9,16,1380.0,16,12,10
5,Blue,7,12,41.916042,10,10,20,332.0,21,12,10
5,Green,3,10,6.298741918710324,9,7,19,213.0,19,8,0
5,Orange,7,9,9.99,6,6,7,143.0,8,10,10
6,Purple,5,7,39.07992096000001,12,12,22,447.0,26,13,0
6,White,2,9,6.1016583538799996,11,9,21,67.0,23,14,10
6,Pink,1,8,2.694236059422545,10,8,22,23.5,25,12,0
6,Red,6,11,36.044990928000004,13,13,21,1400.0,23,12,10
6,Yellow,3,11,20.318522318420403,9,9,17,1380.0,17,13,10
6,Blue,7,13,41.874125958,10,10,22,332.0,23,12,10
6,Green,3,11,6.292443176791614,9,7,21,213.0,21,9,0
6,Orange,7,10,9.98001,6,6,8,143.0,9,10,10
