"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","37.976","10","10","12","447","13","10","0"
"2","White","6","6","10","8","12","67","13","11","10"
"2","Pink","4","2.6522600000000005","8","6","11","23.5","11","9","0"
"2","Red","10","34","10","10","10","1400","9","10","10"
"2","Yellow","7","6.464","8","9","11","1380","11","9","10"
"2","Blue","12","42","10","8","9","331.994","11","11","10"
"2","Green","6","6.451744862000001","8","7","11","213","10","6","0"
"3","Purple","5","38.35576","10","10","15","447","15","10","0"
"3","White","6","6.1206000000000005","10","8","16","67","18","12","10"
"3","Pink","4","2.7599523915626003","8","7","17","23.5","20","10","0"
"3","Red","12","34.683400000000006","10","8","11","1399.994","16","10","10"
"3","Yellow","9","6.659865664","8","9","11","1379.994","14","10","10"
"3","Blue","12","42.42","10","8","12","331.994","16","12","10"
"3","Green","6","6.780848690643039","8","8","15","213","15","6","0"
"4","Purple","5","39.126710776","10","11","16","447","17","10","0"
"4","White","6","6.306060300600001","10","8","21","67","24","13","10"
"4","Pink","4","2.8154274346330084","8","8","21","23.5","25","12","0"
"4","Red","12","36.09168512043401","10","9","15","1399.994","25","10","10"
"4","Yellow","9","6.9995857451799095","8","10","17","1379.994","20","12","10"
"4","Blue","12","42.8442","10","8","15","331.994","20","13","10"
"4","Green","6","7.269987598526932","8","10","20","213","22","6","0"
"5","Purple","5","39.913157662597605","10","12","17","447","19","10","0"
"5","White","6","6.369120903606001","10","8","24","67","28","14","10"
"5","Pink","4","2.8435817089793383","8","8","25","23.5","31","13","0"
"5","Red","12","36.81712799135474","10","9","18","1399.994","34","10","10"
"5","Yellow","9","7.069581602631708","8","10","21","1379.994","25","13","10"
"5","Blue","12","43.272642","10","8","18","331.994","27","14","10"
"5","Green","6","7.717238330455712","8","11","27","213","32","6","0"
"6","Purple","5","40.31228923922358","10","13","18","447","22","10","0"
"6","White","6","6.369120903606001","10","8","26","67","31","15","10"
"6","Pink","4","2.872017526069132","8","8","29","23.5","37","14","0"
"6","Red","14","37.185299271268285","10","7","18","1399.9879999999998","42","10","10"
"6","Yellow","9","7.069581602631708","8","10","24","1379.994","29","14","10"
"6","Blue","12","44.583846325242","10","9","22","331.994","35","15","10"
"6","Green","8","8.192003994769157","8","11","29","212.994","38","6","0"
"7","Purple","5","41.122566252931975","10","14","19","447","24","10","0"
"7","White","6","6.497140233768482","10","8","30","67","36","16","10"
"7","Pink","4","2.900737701329823","8","8","33","23.5","43","15","0"
"7","Red","14","38.31205102448698","10","9","20","1399.9879999999998","52","10","10"
"7","Yellow","9","7.140277418658026","8","11","27","1379.994","34","15","10"
"7","Blue","12","45.479981636379364","10","10","25","331.994","43","16","10"
"7","Green","10","8.782937087393863","8","10","35","212.988","49","6","0"
"8","Purple","7","41.53379191546129","10","12","19","446.994","27","10","0"
