"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","8","37.6","10","8","9","446.994","11","11","0"
"2","White","6","6.0600000000000005","10","9","11","67","11","11","10"
"2","Pink","4","2.6260000000000003","8","6","9","23.5","9","8","0"
"2","Red","10","34","10","10","10","1400","6","10","10"
"2","Yellow","7","6.3936","8","8","7","1380","6","8","10"
"2","Blue","10","42.8442","10","11","11","332","12","10","10"
"2","Green","6","6.2","8","6","8","213","6","6","0"
"3","Purple","8","37.976","10","8","12","446.994","13","13","0"
"3","White","6","6.1206000000000005","10","9","14","67","15","12","10"
"3","Pink","4","2.6787826000000003","8","6","13","23.5","11","10","0"
"3","Red","10","34.68","11","11","10","1400","9","10","10"
"3","Yellow","7","6.514950528","9","9","6","1380","8","8","10"
"3","Blue","12","42.8442","10","9","9","331.994","12","10","10"
"3","Green","6","6.32462","8","6","11","213","9","7","0"
"4","Purple","8","38.7393176","10","8","15","446.994","16","14","0"
"4","White","6","6.181806000000001","10","9","18","67","19","14","10"
"4","Pink","6","2.7326261302600003","8","4","15","23.494","13","12","0"
"4","Red","10","35.0268","11","11","11","1400","11","10","10"
"4","Yellow","7","6.57351993324672","9","9","6","1380","9","8","10"
"4","Blue","14","42.8442","10","7","7","331.98800000000006","12","10","10"
"4","Green","6","6.516262310620001","8","6","15","213","13","8","0"
"5","Purple","8","39.126710776","10","8","19","446.994","18","17","0"
"5","White","6","6.243624060000001","10","9","21","67","23","15","10"
"5","Pink","8","2.7326261302600003","8","2","16","23.488","14","15","0"
"5","Red","10","35.377068","11","11","12","1400","13","10","10"
"5","Yellow","7","6.632615877446607","9","9","6","1380","10","8","10"
"5","Blue","16","42.8442","10","5","5","331.9820000000001","12","10","10"
"5","Green","6","6.647239183063464","8","6","18","213","16","9","0"
"6","Purple","8","39.517977883760004","10","8","22","446.994","20","19","0"
"6","White","6","6.369120903606001","10","9","25","67","28","16","10"
"6","Pink","8","2.7875519154782262","8","2","21","23.488","17","18","0"
"6","Red","10","35.730838680000005","11","11","14","1400","17","10","10"
"6","Yellow","7","6.625983261569161","9","9","5","1380","10","8","10"
"6","Blue","18","43.70536842","10","3","5","331.9760000000001","15","10","10"
"6","Green","6","6.917143749324964","8","6","22","213","20","9","0"
"7","Purple","8","40.31228923922358","10","8","26","446.994","23","21","0"
"7","White","6","6.369120903606001","10","9","28","67","31","18","10"
"7","Pink","10","2.872017526069132","8","0","25","23.482","21","21","0"
"7","Red","10","36.80991000813601","12","12","15","1400","21","10","10"
"7","Yellow","7","6.751744423873744","10","10","4","1380","12","8","10"
"7","Blue","18","43.70536842","10","3","5","331.9760000000001","15","10","10"
"7","Green","6","7.056178338686395","8","6","25","213","23","10","0"
"8","Purple","8","40.715412131615814","10","8","30","446.994","25","24","0"
"8","White","8","6.497140233768482","10","7","30","66.994","36","19","10"
