"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","8","37.6","10","8","8","446.994","10","10","0"
"2","White","6","6","10","8","10","67","10","10","10"
"2","Pink","4","2.6785200000000002","9","7","9","23.5","11","8","0"
"2","Red","10","34","10","10","12","1400","9","11","10"
"2","Yellow","7","6.52864","8","8","11","1380","8","9","10"
"2","Blue","10","42.8442","10","10","13","332","15","10","10"
"2","Green","6","6.387240000000001","9","7","9","213","10","6","0"
"3","Purple","8","39.1228752","11","9","10","446.994","14","10","0"
"3","White","6","6.1812000000000005","11","9","12","67","15","10","10"
"3","Pink","4","2.7870054170400005","10","8","11","23.5","15","8","0"
"3","Red","10","34","10","10","13","1400","11","12","10"
"3","Yellow","7","6.659865664","8","8","14","1380","10","10","10"
"3","Blue","10","43.272642","10","10","14","332","16","10","10"
"3","Green","6","7.0534118880109995","12","10","13","213","20","6","0"
"4","Purple","10","41.11047375166081","13","9","9","446.98800000000006","19","10","0"
"4","White","6","6.3678722400000005","12","10","13","67","18","10","10"
"4","Pink","4","2.9288835575453644","11","9","14","23.5","20","8","0"
"4","Red","10","34.34","10","10","16","1400","16","13","10"
"4","Yellow","7","6.929603543123328","9","9","17","1380","14","11","10"
"4","Blue","10","43.70536842","10","10","16","332","20","10","10"
"4","Green","6","7.711944262811928","15","13","16","213","29","6","0"
"5","Purple","12","43.19905026014019","15","9","8","446.9820000000001","24","10","0"
"5","White","6","6.560181981648","13","11","14","67","21","10","10"
"5","Pink","4","3.047509199393067","12","10","18","23.5","27","9","0"
"5","Red","10","35.73083868000001","11","11","20","1400","24","14","10"
"5","Yellow","7","7.281655121528166","11","11","19","1380","19","12","10"
"5","Blue","10","43.70536842","10","10","16","332","21","10","10"
"5","Green","6","8.2674375445469","16","14","22","213","36","7","0"
"6","Purple","14","44.503661577996425","16","8","7","446.9760000000001","27","10","0"
"6","White","6","6.893465467043646","15","13","15","67","26","10","10"
"6","Pink","6","3.1395439772147378","13","9","18","23.494","31","10","0"
"6","Red","10","36.809910008136015","12","12","22","1400","29","15","10"
"6","Yellow","7","7.882670416637617","14","14","23","1380","29","13","10"
"6","Blue","10","45.02968478849442","10","10","19","332","24","10","10"
"6","Green","6","8.862074316035418","18","16","26","213","43","8","0"
"7","Purple","16","45.847672157651914","17","7","6","446.97000000000014","30","10","0"
"7","White","6","7.101648124148364","16","14","16","67","29","10","10"
"7","Pink","8","3.332035823127487","15","9","18","23.488","37","10","0"
"7","Red","10","37.549789199299546","12","12","25","1400","32","16","10"
"7","Yellow","9","8.120727063220073","15","13","23","1379.994","32","14","10"
"7","Blue","10","47.79054662343399","12","12","21","332","30","10","10"
"7","Green","6","9.884228389177919","21","19","31","213","54","8","0"
"8","Purple","18","47.232271856813","18","6","5","446.96400000000017","33","10","0"
