"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","37.6","10","10","12","447","12","11","0"
"2","White","7","6.0600000000000005","10","9","14","67","14","11","10"
"2","Pink","5","2.6522600000000005","8","8","8","23.5","11","8","0"
"2","Red","10","34.34","10","10","10","1399.995","9","11","10"
"2","Yellow","9","6.5939264","8","11","10","1380","12","9","10"
"2","Blue","12","42.8442","10","10","12","331.999","13","10","10"
"2","Green","8","6.516262310620001","8","10","8","213","12","6","0"
"3","Purple","6","38.7393176","10","12","13","447","15","11","0"
"3","White","8","6.0600000000000005","10","9","15","67","17","12","10"
"3","Pink","6","2.7326261302600003","8","11","8","23.5","16","8","0"
"3","Red","11","34.683400000000006","10","10","10","1399.9899999999998","12","13","10"
"3","Yellow","10","6.861666253484864","8","15","12","1380","18","11","10"
"3","Blue","16","43.66166305158","10","9","11","331.99300000000005","16","10","10"
"3","Green","13","6.84865717754947","8","12","11","212.999","20","7","0"
"4","Purple","8","40.31228923922358","10","15","13","446.999","19","11","0"
"4","White","10","6.243624060000001","10","11","17","67","23","12","10"
"4","Pink","6","2.8435817089793383","8","14","10","23.5","21","8","0"
"4","Red","12","34.67993166000001","10","9","11","1399.9889999999998","9","16","10"
"4","Yellow","11","7.069581602631708","8","18","14","1380","24","11","10"
"4","Blue","18","43.203084604549254","10","5","4","331.9770000000001","20","6","10"
"4","Green","15","7.342687474512202","8","16","13","212.998","27","7","0"
"5","Purple","14","41.53379191546129","10","16","13","446.99700000000007","24","13","0"
"5","White","11","6.369120903606001","10","12","18","67","26","12","10"
"5","Pink","7","2.9294578765905146","9","16","10","23.5","25","8","0"
"5","Red","15","34.95671254137778","10","7","5","1399.9779999999996","11","14","10"
"5","Yellow","12","7.211680192844606","8","20","14","1380","27","11","10"
"5","Blue","20","44.907943041265504","11","4","0","331.9660000000001","24","6","10"
"5","Green","16","7.565178247677396","8","19","13","212.998","31","7","0"
"6","Purple","16","42.36862113296207","10","18","14","446.99700000000007","28","14","0"
"6","White","13","6.432812112642061","10","12","19","66.999","28","13","10"
"6","Pink","9","2.988339979909984","9","18","10","23.5","29","8","0"
"6","Red","16","34.9217558288364","10","6","2","1399.9729999999995","12","13","10"
"6","Yellow","12","7.504503327511671","8","24","14","1380","31","11","10"
"6","Blue","23","45.81059269639494","11","6","1","331.9660000000001","29","7","10"
"6","Green","18","7.794410713760269","8","22","13","212.998","36","7","0"
"7","Purple","17","44.088957049131075","10","21","15","446.99700000000007","33","14","0"
"7","White","14","6.895493155666904","12","16","21","66.999","37","14","10"
"7","Pink","12","3.018223379709084","9","19","12","23.5","33","9","0"
"7","Red","17","35.27097338712477","10","7","2","1399.9729999999995","14","13","10"
"7","Yellow","15","7.886535228495374","9","27","16","1380","39","11","10"
"7","Blue","23","46.268698623358894","11","6","2","331.9660000000001","30","7","10"
