"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","40.703439358080004","13","15","12","447","19","11","0"
"2","White","6","6.304824000000001","12","11","10","67","15","10","10"
"2","Pink","5","2.6","8","6","11","23.5","11","10","0"
"2","Red","10","35.03023400000001","10","10","10","1399.995","9","10","10"
"2","Yellow","7","6.5939264","8","9","7","1379.995","9","8","10"
"2","Blue","16","43.701084","11","10","14","331.99800000000005","19","12","10"
"2","Green","6","6.5149848000000015","10","9","10","213","12","7","0"
"3","Purple","6","42.771336891227904","15","17","11","446.995","24","12","0"
"3","White","6","6.691385621280961","14","15","10","67","21","10","10"
"3","Pink","6","2.6785200000000002","9","8","12","23.5","16","11","0"
"3","Red","10","35.380536340000006","10","11","11","1399.995","10","11","10"
"3","Yellow","8","6.7937289638464","8","12","7","1379.995","13","8","10"
"3","Blue","19","44.13809484","11","10","18","331.99700000000007","20","13","20"
"3","Green","6","6.8466432615132975","11","13","10","213","17","7","0"
"4","Purple","7","44.067351170369","15","20","11","446.995","28","12","0"
"4","White","6","7.17196147191221","17","19","11","67","29","11","10"
"4","Pink","6","2.8427455253808","11","11","13","23.5","22","11","0"
"4","Red","10","35.734341703400005","10","12","13","1399.995","12","12","10"
"4","Yellow","8","6.998899578554561","9","14","8","1379.995","17","8","10"
"4","Blue","19","44.5794757884","11","10","19","331.99700000000007","21","13","20"
"4","Green","7","6.9151096941284305","11","14","10","213","19","7","0"
"5","Purple","7","46.30614887922843","17","23","11","446.995","33","12","0"
"5","White","7","7.462440255447599","18","22","12","67","35","13","10"
"5","Pink","7","2.9285964402473006","12","13","13","23.5","26","11","0"
"5","Red","10","37.88736180420124","12","15","14","1399.995","19","11","10"
"5","Yellow","8","7.210973234684343","9","17","9","1379.995","21","8","10"
"5","Blue","21","45.93027848426431","11","12","20","331.99700000000007","26","13","20"
"5","Green","7","6.9151096941284305","11","14","11","213","19","8","0"
"6","Purple","7","51.642049797894096","21","30","11","446.995","44","12","0"
"6","White","7","8.158361177820847","22","27","13","67","45","14","10"
"6","Pink","8","3.0776825578028992","13","17","14","23.5","33","12","0"
"6","Red","12","39.421875731995","13","18","15","1399.995","25","12","10"
"6","Yellow","8","7.730381447468458","10","23","9","1379.995","28","8","10"
"6","Blue","21","46.389581269106955","11","13","21","331.99700000000007","27","14","20"
"6","Green","7","7.267137321629621","12","18","11","213","24","8","0"
"7","Purple","7","53.7336560988084","22","33","13","446.995","49","13","0"
"7","White","9","9.009256223083673","25","33","14","66.999","56","15","10"
"7","Pink","11","3.2346752992683214","13","21","18","23.5","43","14","0"
"7","Red","12","39.81609448931495","13","18","18","1399.995","28","13","10"
"7","Yellow","10","8.286390373030812","12","25","9","1379.9889999999998","36","8","10"
"7","Blue","21","46.853477081798026","11","13","21","331.9920000000001","29","15","20"
