"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","38.7393176","10","11","14","447","15","10","0"
"2","White","6","6.304824000000001","12","10","13","67","17","11","10"
"2","Pink","5","2.7055704260000004","8","9","10","23.5","14","8","0"
"2","Red","11","34.683400000000006","10","12","10","1400","9","10","10"
"2","Yellow","9","6.5873324736","8","7","8","1379.994","9","9","10"
"2","Blue","10","44.13376800000001","12","13","10","332","15","10","10"
"2","Green","6","6.32462","8","6","10","213","8","6","0"
"3","Purple","6","39.126710776","10","12","14","447","16","10","0"
"3","White","6","6.4315509624","12","11","17","67","21","13","10"
"3","Pink","6","2.7596818345200003","9","10","11","23.5","17","9","0"
"3","Red","11","35.37706800000001","11","13","13","1400","14","11","10"
"3","Yellow","9","6.922673939580205","9","11","9","1379.994","14","10","10"
"3","Blue","13","46.37593994947201","14","14","8","331.994","21","10","10"
"3","Green","6","6.646587556832401","9","9","12","213","14","7","0"
"4","Purple","7","42.3603147817331","12","17","15","447","25","10","0"
"4","White","6","6.7589620558739165","13","13","21","67","27","14","10"
"4","Pink","6","2.9001690128635462","10","14","12","23.5","23","9","0"
"4","Red","12","36.80630154720001","13","15","15","1400","21","12","10"
"4","Yellow","9","7.061819685765768","9","13","10","1379.994","16","11","10"
"4","Blue","13","48.25425826930553","15","17","9","331.994","26","10","10"
"4","Green","6","7.196596356797691","10","13","16","213","23","8","0"
"5","Purple","7","44.080313426733746","12","19","14","446.995","29","10","0"
"5","White","6","7.390728025746353","15","18","25","67","38","15","10"
"5","Pink","6","3.078286054552819","11","18","14","23.5","29","10","0"
"5","Red","15","37.54242757814401","14","15","16","1399.999","23","15","10"
"5","Yellow","9","7.495529040562894","10","16","12","1379.994","22","11","10"
"5","Blue","13","51.21282528248353","17","19","10","331.994","34","8","10"
"5","Green","6","7.714968999457568","11","18","17","213","30","8","0"
"6","Purple","7","48.68254344155604","14","24","17","446.995","39","10","0"
"6","White","7","7.689313437986506","17","20","27","67","44","17","10"
"6","Pink","6","3.33268919551145","13","23","16","23.5","38","11","0"
"6","Red","17","39.41028333575522","16","18","15","1399.999","30","14","10"
"6","Yellow","9","8.035433879496972","11","21","15","1379.994","30","13","10"
"6","Blue","15","51.724953535308366","17","20","10","331.994","37","9","10"
"6","Green","7","8.107715080612335","12","21","19","213","36","9","0"
"7","Purple","8","50.654283816025945","15","27","19","446.995","45","11","0"
"7","White","8","7.999961700881161","19","22","28","67","50","17","10"
"7","Pink","7","3.399342979421679","14","24","16","23.5","41","11","0"
"7","Red","18","41.780685450211955","19","21","14","1399.999","37","14","10"
"7","Yellow","9","8.444493872709202","12","23","18","1379.994","36","13","10"
"7","Blue","15","55.99973190616815","19","24","13","331.994","46","9","10"
"7","Green","7","8.188792231418459","12","22","22","213","40","10","0"
