"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","37.6","10","10","11","447","11","10","0"
"2","White","6","6","10","8","11","67","11","10","10"
"2","Pink","4","2.6260000000000003","8","7","9","23.5","10","8","0"
"2","Red","10","34.30566","10","11","9","1400","8","10","10"
"2","Yellow","8","6.464","8","9","9","1380","10","8","10"
"2","Blue","12","41.958","10","10","12","332","14","10","10"
"2","Green","6","6.255738","8","7","8","213","8","6","0"
"3","Purple","10","38.73552","11","12","14","447","19","10","0"
"3","White","8","6.2424","12","10","14","67","19","11","10"
"3","Pink","5","2.702599894800001","9","9","9","23.5","14","9","0"
"3","Red","10","34.6487166","10","12","9","1400","9","10","10"
"3","Yellow","10","6.659212800000001","9","11","10","1380","15","8","10"
"3","Blue","15","42.79716","11","11","15","332","21","10","10"
"3","Green","7","6.3750968554662","8","9","7","213","11","6","0"
"4","Purple","10","41.110473751660805","13","15","15","447","25","10","0"
"4","White","8","6.298519176","12","11","14","67","21","11","10"
"4","Pink","7","2.808973145619371","11","11","11","23.5","22","9","0"
"4","Red","10","35.309810647856345","10","14","9","1400","12","10","10"
"4","Yellow","12","6.991215265714664","10","15","11","1380","22","9","10"
"4","Blue","17","43.2251316","11","12","18","332","26","12","10"
"4","Green","11","6.692934404550766","9","12","10","213","20","7","0"
"5","Purple","10","43.631040762741584","15","19","15","447","31","10","0"
"5","White","7","6.489370605551976","12","14","14","67","25","11","10"
"5","Pink","7","2.919533205041691","13","13","11","23.5","27","9","0"
"5","Red","12","35.97999085395266","11","15","11","1400","18","10","10"
"5","Yellow","13","7.266386702087088","12","17","10","1380","27","9","10"
"5","Blue","21","44.09395674516","11","14","20","332","32","12","10"
"5","Green","13","7.310493469566808","12","18","11","213","32","7","0"
"6","Purple","10","45.84767215765191","17","22","15","447","36","10","0"
"6","White","8","6.685349597839646","13","16","17","67","33","11","10"
"6","Pink","7","2.9749459452733826","14","14","12","23.5","31","9","0"
"6","Red","16","36.66289108036068","12","16","13","1400","25","10","10"
"6","Yellow","13","7.552388776126555","14","19","10","1380","32","9","10"
"6","Blue","21","44.5348963126116","11","15","22","332","35","13","10"
"6","Green","15","7.6749662579250835","13","22","13","213","40","8","0"
"7","Purple","10","48.65868646688875","19","25","16","447","42","10","0"
"7","White","10","7.024992098808291","15","19","18","67","40","11","10"
"7","Pink","7","3.0016907093213905","14","15","11","23.5","32","9","0"
"7","Red","20","38.144071880007246","14","18","16","1400","34","10","10"
"7","Yellow","16","8.015441138863977","16","23","11","1380","41","9","10"
"7","Blue","21","48.215456632026495","13","20","23","332","43","13","10"
"7","Green","17","8.137388562033506","15","26","14","213","49","8","0"
"8","Purple","12","51.642049797894096","21","29","17","447","50","10","0"
"8","White","12","7.530265782323809","17","24","19","67","49","11","10"
