"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","37.6","10","10","14","447","14","11","0"
"2","White","9","6.12","11","7","11","66.994","15","11","10"
"2","Pink","4","2.5974","8","6","10","23.5","11","8","0"
"2","Red","10","34","10","10","13","1400","10","10","10"
"2","Yellow","7","6.521472","9","9","8","1380","10","8","10"
"2","Blue","10","42","10","10","12","332","12","10","10"
"2","Green","7","6.1938","8","6","8","213","8","6","0"
"3","Purple","6","38.73552","11","12","15","447","18","11","0"
"3","White","10","6.1812000000000005","11","8","13","66.994","20","11","10"
"3","Pink","5","2.5948026","8","6","11","23.5","14","8","0"
"3","Red","9","34","10","10","19","1400","14","11","10"
"3","Yellow","7","6.7117020339456","10","11","9","1380","16","9","10"
"3","Blue","10","42.8442","10","11","17","332","18","10","10"
"3","Green","7","6.375096855466201","8","8","10","213","13","6","0"
"4","Purple","8","40.26013457299201","13","14","17","447","26","11","0"
"4","White","10","6.236768988000001","11","9","14","66.994","23","11","10"
"4","Pink","5","2.618129875374","8","7","12","23.5","17","8","0"
"4","Red","9","35.0268","11","12","20","1400","18","11","10"
"4","Yellow","7","7.1153893801473025","13","14","9","1380","23","9","10"
"4","Blue","12","43.657382916","11","12","23","332","28","10","10"
"4","Green","9","6.561057155720778","9","10","12","213","20","6","0"
"5","Purple","8","41.0242719271874","14","15","19","447","31","11","0"
"5","White","12","6.355765916614142","11","11","15","66.994","28","11","10"
"5","Pink","5","2.6416668629536124","8","8","12","23.5","19","8","0"
"5","Red","9","37.174364562672004","13","16","22","1400","27","11","10"
"5","Yellow","6","7.476879622216306","15","17","12","1380","30","9","10"
"5","Blue","14","45.3757200446206","13","14","26","332","38","10","10"
"5","Green","11","6.826793092641782","10","13","15","213","28","6","0"
"6","Purple","10","42.263204939388466","15","17","23","447","39","11","0"
"6","White","18","6.349410150697528","11","9","15","66.988","33","11","10"
"6","Pink","7","2.691805700012472","9","9","14","23.5","25","8","0"
"6","Red","9","39.457468689780754","14","21","24","1400","35","11","10"
"6","Yellow","8","8.013869714834252","18","21","15","1380","41","9","10"
"6","Blue","13","46.74606678996814","14","16","30","332","44","10","10"
"6","Green","11","7.025929281795524","11","15","16","213","33","6","0"
"7","Purple","12","43.065360569138065","16","18","24","447","44","11","0"
"7","White","24","6.534621174911345","12","11","17","66.988","42","11","10"
"7","Pink","7","2.742896172198709","10","10","15","23.5","29","8","0"
"7","Red","9","41.466130837520794","15","25","25","1400","41","11","10"
"7","Yellow","7","8.58083705238436","21","25","17","1380","50","9","10"
"7","Blue","15","47.16631393040995","14","17","30","332","47","10","10"
"7","Green","13","7.44851638891439","14","18","19","213","44","6","0"
"8","Purple","14","46.11215989223197","19","22","25","447","54","11","0"
"8","White","24","6.7992864017376045","13","14","19","66.988","48","11","10"
