"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","7","37.6","10","10","11","447","7","10","10"
"2","White","6","6.2424","12","10","11","67","15","10","10"
"2","Pink","4","2.6","8","6","9","23.5","10","8","0"
"2","Red","12","34.68","11","11","10","1400","9","10","10"
"2","Yellow","7","6.4","8","8","11","1380","11","8","10"
"2","Blue","10","42.84","11","11","11","332","13","10","10"
"2","Green","8","6.1938","8","6","9","213","9","6","0"
"3","Purple","9","38.352000000000004","11","11","13","447","12","10","10"
"3","White","6","6.559538889600001","14","13","13","67","22","10","10"
"3","Pink","6","2.7023349600000004","10","8","10","23.5","17","8","0"
"3","Red","12","34.64532","11","11","10","1400","11","10","10"
"3","Yellow","9","6.6585600000000005","10","10","14","1380","20","8","10"
"3","Blue","13","42.84","11","11","12","332","16","10","10"
"3","Green","8","6.374471907240001","9","8","9","213","13","6","0"
"4","Purple","11","39.119040000000005","12","12","17","447","19","10","10"
"4","White","8","6.824544260739841","16","15","16","67","30","10","10"
"4","Pink","6","2.8086977830916164","12","10","10","23.5","22","8","0"
"4","Red","13","34.64532","11","11","13","1400","16","10","10"
"4","Yellow","9","6.859648512000001","11","12","16","1380","26","8","10"
"4","Blue","13","43.6968","12","12","14","332","20","11","10"
"4","Green","8","6.5604139778798105","10","10","12","213","19","7","0"
"5","Purple","12","41.928572582323206","15","16","18","447","28","10","10"
"5","White","9","6.9540741108086825","17","16","16","67","34","10","10"
"5","Pink","6","2.9192470043549896","14","12","9","23.5","26","8","0"
"5","Red","13","34.9917732","11","12","15","1400","19","10","10"
"5","Yellow","11","6.928244997120001","11","13","19","1380","31","8","10"
"5","Blue","12","44.089634232","12","13","18","332","25","12","0"
"5","Green","8","6.68558602053636","10","12","12","213","22","8","0"
"6","Purple","12","44.939886019471466","18","20","19","447","36","10","10"
"6","White","10","7.093851000435937","17","18","17","67","38","10","10"
"6","Pink","6","2.9746543124976474","15","13","10","23.5","30","8","0"
"6","Red","13","35.341690932","11","13","19","1400","24","10","10"
"6","Yellow","10","7.353029831513223","13","17","23","1380","41","8","0"
"6","Blue","14","44.089634232","12","13","21","332","29","12","0"
"6","Green","9","6.950090574547907","10","16","11","213","27","8","0"
"7","Purple","11","45.38928487966618","18","21","26","447","44","10","0"
"7","White","9","7.164789510440297","17","19","24","67","46","10","0"
"7","Pink","6","3.0614243838623416","16","15","11","23.5","35","8","0"
"7","Red","12","36.4090099981464","12","15","24","1400","32","10","0"
"7","Yellow","9","7.804624174888731","14","22","26","1380","49","8","0"
"7","Blue","14","44.92645548972337","13","14","22","332","33","12","0"
"7","Green","10","7.08978739509632","10","18","14","213","33","8","0"
"8","Purple","11","45.38928487966618","18","21","32","447","50","10","0"
"8","White","9","7.164789510440297","17","19","29","67","51","10","0"
"8","Pink","8","3.150725520854729","17","17","12","23.5","41","8","0"
