"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","38.352000000000004","11","11","11","447","13","11","0"
"2","White","6","6.0600000000000005","10","9","12","67","12","12","10"
"2","Pink","4","2.6758414800000003","9","8","9","23.5","12","10","0"
"2","Red","10","34","10","10","11","1400","8","10","10"
"2","Yellow","7","6.4","8","8","10","1380","6","10","10"
"2","Blue","10","42","10","10","10","332","11","10","10"
"2","Green","6","6.2","8","6","9","213","7","7","0"
"3","Purple","6","38.73552","11","11","13","447","16","11","0"
"3","White","7","6.243624060000001","10","11","13","67","16","13","10"
"3","Pink","4","2.7025998948000005","9","9","12","23.5","13","13","0"
"3","Red","10","34","10","10","12","1400","10","11","10"
"3","Yellow","7","6.464","8","9","12","1380","9","12","10"
"3","Blue","12","42","10","8","10","331.994","14","11","10"
"3","Green","6","6.2","8","6","11","213","8","9","0"
"4","Purple","6","39.905332704","12","12","15","447","21","11","0"
"4","White","7","6.369120903606001","10","11","18","67","21","15","10"
"4","Pink","4","2.8399027798554193","11","11","15","23.5","19","15","0"
"4","Red","10","34","10","10","15","1400","16","13","10"
"4","Yellow","7","6.659212800000001","9","11","15","1380","13","15","10"
"4","Blue","14","42","10","6","11","331.98800000000006","18","13","10"
"4","Green","6","6.2620000000000005","8","7","12","213","10","10","0"
"5","Purple","6","40.30438603104","12","12","18","447","26","11","0"
"5","White","8","6.432812112642061","10","11","21","67","27","16","10"
"5","Pink","4","2.8683018076539737","11","12","18","23.5","21","18","0"
"5","Red","12","34","10","8","15","1399.994","21","14","10"
"5","Yellow","7","6.659212800000001","9","11","19","1380","15","19","10"
"5","Blue","14","42","10","6","13","331.98800000000006","24","14","10"
"5","Green","6","6.32462","8","8","14","213","12","12","0"
"6","Purple","6","40.7074298913504","12","12","21","447","31","11","0"
"6","White","9","6.562111636106167","10","11","25","67","34","17","10"
"6","Pink","4","2.9552142207276972","11","13","23","23.5","25","21","0"
"6","Red","12","34.34","10","8","19","1399.994","29","16","10"
"6","Yellow","8","6.659212800000001","9","11","24","1380","21","23","10"
"6","Blue","16","42","10","4","14","331.9820000000001","31","16","10"
"6","Green","6","6.3878662","8","9","16","213","14","14","0"
"7","Purple","6","41.11450419026391","12","12","24","447","36","11","0"
"7","White","9","6.828559682599738","10","12","30","67","42","17","10"
"7","Pink","4","3.014614026564324","11","14","25","23.5","28","22","0"
"7","Red","14","34.34","10","6","20","1399.9879999999998","37","18","10"
"7","Yellow","9","6.659212800000001","9","11","27","1380","26","25","10"
"7","Blue","18","42","10","2","15","331.9760000000001","39","18","10"
"7","Green","6","6.451744862000001","8","9","20","213","19","15","0"
"8","Purple","6","41.94090572448822","12","13","27","447","42","11","0"
"8","White","10","6.896845279425735","10","12","32","67","47","17","10"
"8","Pink","4","3.014614026564324","11","14","26","23.5","29","23","0"
