"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","37.6","10","10","10","447","10","10","0"
"2","White","6","6","10","8","11","67","10","11","10"
"2","Pink","4","2.6260000000000003","8","6","9","23.5","9","8","0"
"2","Red","10","35.0268","11","12","9","1400","8","10","10"
"2","Yellow","7","6.593280000000001","9","10","7","1380","8","8","10"
"2","Blue","12","42","10","8","8","331.994","12","10","10"
"2","Green","6","6.2620000000000005","8","6","10","213","8","7","0"
"3","Purple","6","38.352000000000004","11","11","10","447","12","10","0"
"3","White","6","6","10","8","14","67","13","13","10"
"3","Pink","4","2.6260000000000003","8","6","10","23.5","9","9","0"
"3","Red","10","35.0268","11","12","9","1400","8","10","10"
"3","Yellow","7","6.593280000000001","9","10","9","1380","11","9","10"
"3","Blue","12","42","10","8","8","331.994","14","10","10"
"3","Green","6","6.38724","9","7","10","213","10","7","0"
"4","Purple","6","40.703439358080004","13","13","13","447","18","11","0"
"4","White","6","6.0600000000000005","10","8","18","67","17","15","10"
"4","Pink","4","2.7323582520000005","9","7","14","23.5","13","11","0"
"4","Red","10","35.0268","11","12","9","1400","8","10","10"
"4","Yellow","9","6.593280000000001","9","8","8","1379.994","12","10","10"
"4","Blue","13","43.6968","12","10","8","331.994","20","11","10"
"4","Green","6","6.8459720877792005","12","10","12","213","18","8","0"
"5","Purple","6","43.19905026014018","15","15","15","447","24","11","0"
"5","White","6","6.0600000000000005","10","8","21","67","20","17","10"
"5","Pink","4","2.7872786528652007","9","7","18","23.5","16","13","0"
"5","Red","10","35.377068","11","12","10","1400","11","10","10"
"5","Yellow","9","6.659212800000001","9","8","10","1379.994","17","10","10"
"5","Blue","13","44.570736000000004","13","11","10","331.994","29","11","10"
"5","Green","6","6.982891529534784","13","11","15","213","26","8","0"
"6","Purple","8","45.39818517571415","16","14","16","446.994","29","11","0"
"6","White","6","6.1206000000000005","10","8","25","67","24","19","10"
"6","Pink","4","2.9001690128635467","10","8","22","23.5","21","15","0"
"6","Red","12","35.730838680000005","11","10","10","1399.994","15","10","10"
"6","Yellow","9","6.793062977280001","9","8","13","1379.994","22","10","10"
"6","Blue","14","45.016443360000004","13","11","12","331.994","37","11","10"
"6","Green","6","7.4110268543092825","15","13","17","213","32","8","0"
"7","Purple","10","47.23690247170092","17","13","16","446.98800000000006","33","11","0"
"7","White","6","6.243624060000001","10","8","29","67","28","20","10"
"7","Pink","4","3.0179275044635485","10","9","26","23.5","26","16","0"
"7","Red","12","36.088147066800005","11","10","12","1399.994","19","10","10"
"7","Yellow","9","6.929603543123329","9","8","16","1379.994","27","10","10"
"7","Blue","14","45.466607793600005","13","11","15","331.994","45","11","10"
"7","Green","7","7.711188263962517","16","15","17","213","36","8","0"
"8","Purple","10","50.63442425877717","19","15","22","446.98800000000006","46","11","0"
