"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","39.1228752","11","13","10","447","14","10","0"
"2","White","6","6.243012","11","10","11","67","14","10","10"
"2","Pink","4","2.6787826000000003","8","7","11","23.5","12","9","0"
"2","Red","10","34","10","10","11","1400","8","10","10"
"2","Yellow","7","6.521472","9","9","7","1380","8","8","10"
"2","Blue","10","43.2684","11","12","11","332","14","11","10"
"2","Green","6","6.32462","8","7","9","213","8","6","0"
"3","Purple","6","40.30438603104001","12","14","12","447","19","10","0"
"3","White","6","6.432181506612001","11","11","13","67","17","10","10"
"3","Pink","4","2.7599523915626003","8","8","14","23.5","17","10","0"
"3","Red","10","35.0268","11","11","13","1400","14","10","10"
"3","Yellow","7","6.778819054285056","10","10","8","1380","12","8","10"
"3","Blue","10","45.0208567368","12","15","12","332","18","12","10"
"3","Green","6","6.7137115748940985","8","9","13","213","14","6","0"
"4","Purple","6","41.114504190263915","12","14","15","447","24","10","0"
"4","White","6","6.69335386882829","11","12","16","67","21","10","10"
"4","Pink","4","2.7875519154782262","8","8","16","23.5","19","11","0"
"4","Red","10","35.377068","11","11","16","1400","20","10","10"
"4","Yellow","7","6.839760637583078","10","10","9","1380","14","9","10"
"4","Blue","10","45.471065304168","12","16","14","332","20","14","10"
"4","Green","6","7.12674012207326","8","11","17","213","20","6","0"
"5","Purple","6","41.52564923216656","12","14","17","447","27","10","0"
"5","White","6","6.827890281591739","11","13","17","67","23","10","10"
"5","Pink","4","2.8154274346330084","8","8","18","23.5","22","12","0"
"5","Red","10","36.088147066800005","11","11","20","1400","27","10","10"
"5","Yellow","7","7.039275087429249","11","11","9","1380","18","9","10"
"5","Blue","10","47.31273439111741","13","19","15","332","24","15","10"
"5","Green","6","7.64083003015417","8","14","21","213","27","6","0"
"6","Purple","6","43.20752107736777","13","15","20","447","33","10","0"
"6","White","6","7.034782185014251","11","13","21","67","28","10","10"
"6","Pink","4","2.8435817089793383","8","8","21","23.5","26","13","0"
"6","Red","10","36.449028537468","11","11","22","1400","32","10","10"
"6","Yellow","7","7.53803050111513","13","13","11","1380","26","9","10"
"6","Blue","10","49.71641054912374","15","22","16","332","30","16","10"
"6","Green","6","8.191200935853878","9","16","25","213","34","6","0"
"7","Purple","6","43.63959628814145","13","15","22","447","36","10","0"
"7","White","6","7.176181306933038","11","14","23","67","32","10","10"
"7","Pink","4","2.900737701329823","8","9","23","23.5","29","14","0"
"7","Red","10","37.18165401107111","11","11","26","1400","40","10","10"
"7","Yellow","7","7.613410806126281","13","13","13","1380","32","9","10"
"7","Blue","10","50.21357465461497","15","22","19","332","35","17","10"
"7","Green","6","8.609034505970953","9","16","31","213","41","6","0"
"8","Purple","6","44.07599225102286","13","15","25","447","41","10","0"
"8","White","6","7.320422551202392","11","14","26","67","36","10","10"
