"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","7","38.35576","10","12","14","447","16","12","0"
"2","White","6","6.181806000000001","10","11","12","67","15","11","10"
"2","Pink","4","2.6522600000000005","8","7","15","23.5","16","10","0"
"2","Red","11","34.34","10","8","8","1399.9899999999998","9","10","10"
"2","Yellow","10","6.457536","8","7","6","1379.994","9","8","10"
"2","Blue","12","43.272642","10","12","14","331.999","14","13","10"
"2","Green","9","6.2","8","5","10","212.999","8","8","0"
"3","Purple","7","39.517977883760004","10","15","15","447","20","12","0"
"3","White","6","6.369120903606001","10","14","13","67","19","12","10"
"3","Pink","4","2.6496077400000004","8","7","15","23.5","17","10","0"
"3","Red","14","34.683400000000006","10","6","4","1399.9789999999996","11","10","10"
"3","Yellow","10","6.457536","8","7","6","1379.994","9","8","10"
"3","Blue","15","44.583846325242","10","14","14","331.99800000000005","18","13","10"
"3","Green","9","6.2","8","5","11","212.999","8","9","0"
"4","Purple","8","40.715412131615814","10","18","17","447","26","12","0"
"4","White","6","6.627732752467228","10","18","14","67","24","13","10"
"4","Pink","6","2.6761038174000005","8","8","16","23.5","21","10","0"
"4","Red","15","35.380536340000006","10","7","3","1399.9739999999995","15","10","10"
"4","Yellow","11","6.5873324736","8","9","6","1379.994","12","8","10"
"4","Blue","18","45.479981636379364","10","15","15","331.99700000000007","21","14","10"
"4","Green","10","6.32462","8","7","13","212.999","12","11","0"
"5","Purple","9","41.53379191546129","10","19","16","446.995","29","13","0"
"5","White","7","6.965813732219992","10","23","15","67","31","14","10"
"5","Pink","7","2.7571924391710376","8","11","17","23.5","26","11","0"
"5","Red","19","35.734341703400005","10","6","3","1399.9719999999995","16","10","10"
"5","Yellow","11","6.71973785631936","8","10","4","1379.9889999999998","14","8","10"
"5","Blue","20","45.93478145274316","10","16","16","331.99700000000007","24","15","10"
"5","Green","11","6.451744862000001","8","9","15","212.999","16","13","0"
"6","Purple","10","43.65243272191196","10","24","16","446.995","35","13","0"
"6","White","10","7.105826588237615","10","24","15","66.999","34","14","10"
"6","Pink","8","2.8126120071983753","8","13","17","23.5","29","11","0"
"6","Red","22","36.09168512043401","10","4","0","1399.9609999999993","18","11","10"
"6","Yellow","12","6.9233526331036925","8","13","4","1379.9889999999998","18","8","10"
"6","Blue","23","47.326651265542736","10","19","16","331.99700000000007","30","15","10"
"6","Green","12","6.581424933726201","8","11","16","212.999","20","14","0"
"7","Purple","11","45.87914550204356","10","29","17","446.995","42","14","0"
"7","White","12","7.394351642084681","10","27","16","66.99799999999999","39","16","10"
"7","Pink","8","2.869145508543063","8","15","18","23.5","31","12","0"
"7","Red","24","36.78031086336338","10","5","-2","1399.9559999999992","23","11","10"
"7","Yellow","13","7.133137141239368","8","16","4","1379.9889999999998","22","8","10"
