"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","7","38.7393176","10","12","12","447","15","11","0"
"2","White","6","6.1206000000000005","10","9","13","67","14","11","10"
"2","Pink","4","2.6785200000000002","9","8","9","23.5","12","9","0"
"2","Red","12","34","10","8","9","1399.994","8","10","10"
"2","Yellow","7","6.464","8","9","10","1380","7","10","10"
"2","Blue","11","43.2684","11","12","13","332","16","12","10"
"2","Green","6","6.580134648000001","10","10","11","213","15","7","0"
"3","Purple","10","39.517977883760004","10","12","12","446.994","20","12","0"
"3","White","6","6.243624060000001","10","11","14","67","16","12","10"
"3","Pink","4","2.78700541704","10","11","9","23.5","16","9","0"
"3","Red","12","34.34","10","8","7","1399.9889999999998","9","10","10"
"3","Yellow","7","6.5939264","8","11","10","1380","9","10","10"
"3","Blue","12","43.2684","11","12","15","332","18","14","10"
"3","Green","8","6.9151096941284305","11","13","14","212.999","22","9","0"
"4","Purple","10","40.715412131615814","10","15","12","446.994","23","12","0"
"4","White","6","6.369120903606001","10","13","15","67","19","12","10"
"4","Pink","5","2.958462410022104","10","17","9","23.5","23","9","0"
"4","Red","12","34.683400000000006","10","9","7","1399.9889999999998","10","10","10"
"4","Yellow","7","6.659865664","8","12","10","1380","10","10","10"
"4","Blue","12","45.025270546284005","11","16","18","332","25","15","10"
"4","Green","8","7.124644432970216","11","16","16","212.999","26","10","0"
"5","Purple","13","41.94912983461591","10","18","13","446.994","29","13","0"
"5","White","7","6.497140233768482","10","15","16","67","22","14","10"
"5","Pink","6","3.171561200291825","11","23","10","23.5","31","10","0"
"5","Red","14","35.34515580366001","10","9","4","1399.9829999999997","12","9","10"
"5","Yellow","8","6.7937289638464","8","14","12","1380","15","12","10"
"5","Blue","13","47.795231971142165","11","22","20","332","34","16","10"
"5","Green","8","7.4132067817943765","12","19","17","212.999","31","10","0"
"6","Purple","14","43.65243272191196","10","22","14","446.994","35","13","0"
"6","White","8","6.627732752467228","10","17","17","67","26","14","10"
"6","Pink","6","3.3330159297463053","12","27","10","23.5","36","10","0"
"6","Red","14","36.05559343531358","10","11","4","1399.9829999999997","14","9","10"
"6","Yellow","8","7.138877570125652","10","17","12","1380","20","12","10"
"6","Blue","13","49.24347529509974","11","25","22","332","39","17","10"
"6","Green","9","7.790591047699319","13","23","19","212.999","38","11","0"
"7","Purple","16","45.4248965366768","10","26","16","446.994","43","15","0"
"7","White","9","6.828559682599738","10","19","19","67","30","15","10"
"7","Pink","9","3.5730939040928975","13","33","11","23.5","46","11","0"
"7","Red","17","37.14811397199703","10","11","3","1399.9769999999996","18","9","10"
"7","Yellow","8","7.5765767172603","12","21","13","1380","27","12","10"
"7","Blue","13","50.735601840016564","11","28","22","332","42","17","10"
"7","Green","9","8.269058690196132","14","28","20","212.999","45","11","0"
