"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","7","37.976","10","11","13","447","15","11","0"
"2","White","6","6.30544212","11","12","11","67","16","10","10"
"2","Pink","5","2.6260000000000003","8","7","11","23.5","13","10","0"
"2","Red","10","34.34","10","11","11","1400","10","10","10"
"2","Yellow","7","6.659212800000001","9","11","9","1380","12","8","10"
"2","Blue","10","43.701084","11","12","12","332","14","11","10"
"2","Green","7","6.4511124","9","8","9","213","11","6","0"
"3","Purple","7","39.517977883760004","10","15","14","447","20","11","0"
"3","White","6","6.561468354894902","11","16","11","67","20","10","10"
"3","Pink","5","2.7326261302600003","8","11","11","23.5","17","10","0"
"3","Red","11","35.03023400000001","10","13","12","1400","14","11","10"
"3","Yellow","7","6.998213479193857","10","15","12","1380","19","9","10"
"3","Blue","10","46.38048661025136","13","16","12","332","20","11","10"
"3","Green","8","6.779519307969049","10","12","10","213","18","6","0"
"4","Purple","8","41.122566252931975","10","19","14","447","25","11","0"
"4","White","6","7.1747744194577265","13","23","11","67","29","10","10"
"4","Pink","5","2.8154274346330084","8","13","12","23.5","20","10","0"
"4","Red","12","36.088147066800005","11","14","13","1400","18","11","10"
"4","Yellow","8","7.281655121528168","11","18","13","1380","25","9","10"
"4","Blue","10","49.22416886051856","15","20","12","332","26","11","10"
"4","Green","8","6.984945522519819","10","13","13","213","22","6","0"
"5","Purple","8","42.36862113296207","10","20","13","446.995","28","11","0"
"5","White","6","7.3921772591417145","13","25","12","67","32","10","10"
"5","Pink","5","2.9590425291265525","8","15","15","23.5","25","10","0"
"5","Red","14","37.54978919929954","12","16","13","1399.999","22","11","10"
"5","Yellow","8","7.428016389470884","11","20","14","1380","28","9","10"
"5","Blue","11","50.71073876010622","16","22","13","332","30","12","10"
"5","Green","8","7.125342927522468","10","14","16","213","26","7","0"
"6","Purple","9","43.22023041773461","10","22","12","446.995","31","11","0"
"6","White","6","8.00388401974127","14","31","13","67","40","10","10"
"6","Pink","5","3.109983436785329","8","18","17","23.5","30","10","0"
"6","Red","19","37.92528709129253","12","17","15","1399.999","27","11","10"
"6","Yellow","8","7.88344322746278","13","24","14","1380","34","9","10"
"6","Blue","11","52.76462510136804","17","25","15","332","35","14","10"
"6","Green","8","7.56369509750742","10","17","21","213","33","9","0"
"7","Purple","9","44.97514508581861","10","26","13","446.995","36","11","0"
"7","White","6","8.75201391138401","16","37","14","67","49","10","10"
"7","Pink","5","3.2362612353523947","8","20","19","23.5","34","10","0"
"7","Red","20","39.074461215445794","12","19","13","1399.994","31","11","10"
"7","Yellow","12","7.962277659737408","13","23","16","1379.999","38","9","10"
"7","Blue","12","57.1253265174821","19","29","18","332","45","15","10"
"7","Green","8","7.792882622656992","10","20","22","213","36","10","0"
"8","Purple","9","46.80131632663464","10","29","11","446.99","40","11","0"
