"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","6","37.562400000000004","10","10","10","447","11","10","0"
"2","White","10","6","10","8","13","67","16","10","10"
"2","Pink","4","2.5974","8","6","8","23.5","10","8","0"
"2","Red","10","34.34","10","11","10","1400","8","10","10"
"2","Yellow","8","6.464","8","9","8","1380","9","8","10"
"2","Blue","10","41.958","10","10","10","332","11","10","10"
"2","Green","8","6.1938","8","6","9","213","10","6","0"
"3","Purple","10","37.562400000000004","10","8","11","446.994","15","10","0"
"3","White","11","6","10","8","14","67","18","10","10"
"3","Pink","4","2.646698652","9","7","7","23.5","13","8","0"
"3","Red","14","35.03023400000001","10","12","13","1400","14","10","10"
"3","Yellow","8","6.659212800000001","9","11","9","1380","14","8","10"
"3","Blue","14","42.8013558","10","11","17","332","21","11","10"
"3","Green","10","6.255738000000001","8","5","8","212.994","11","7","0"
"4","Purple","11","38.279086835760005","10","9","11","446.994","18","10","0"
"4","White","13","6.1812000000000005","11","9","16","67","23","10","10"
"4","Pink","8","2.69693299241496","10","6","5","23.494","17","8","0"
"4","Red","14","36.445455453600005","12","14","15","1400","21","10","10"
"4","Yellow","11","6.7258049280000005","9","12","13","1380","22","8","10"
"4","Blue","14","44.98024527573772","11","15","18","332","27","11","10"
"4","Green","10","6.438216626312401","9","7","8","212.994","15","7","0"
"5","Purple","12","38.66187770411761","10","10","12","446.994","21","10","0"
"5","White","16","6.243012","11","10","19","67","29","10","10"
"5","Pink","11","2.6942360594225447","10","6","5","23.494","20","8","0"
"5","Red","14","36.445455453600005","12","14","17","1400","23","10","10"
"5","Yellow","12","6.853460705533441","10","13","12","1380","25","8","10"
"5","Blue","18","46.80203516989565","12","18","20","332","35","11","10"
"5","Green","13","6.56762478050128","9","9","12","212.994","22","7","0"
"6","Purple","13","40.585429683258596","12","13","11","446.994","27","10","0"
"6","White","16","6.818388120372874","15","15","19","67","39","10","10"
"6","Pink","14","2.8005546502929755","11","5","7","23.488","28","8","0"
"6","Red","14","37.54978919929954","12","17","20","1400","30","10","10"
"6","Yellow","12","6.915073317276186","10","14","13","1380","28","9","10"
"6","Blue","18","50.664994690759976","15","22","23","332","45","12","10"
"6","Green","13","7.103291866479959","11","14","13","212.994","31","7","0"
"7","Purple","13","40.95029269611109","12","14","11","446.994","29","10","0"
"7","White","17","7.157624720929858","17","18","18","67","45","10","10"
"7","Pink","14","2.9398911947177133","13","8","9","23.488","36","8","0"
"7","Red","14","37.92528709129253","12","18","24","1400","35","10","10"
"7","Yellow","13","7.195147616772507","11","17","14","1380","34","9","10"
"7","Blue","20","53.23897908102935","17","25","27","332","55","12","10"
"7","Green","15","7.310493469566807","12","16","14","212.994","37","7","0"
"8","Purple","13","41.3597956230722","12","15","12","446.994","31","10","0"
"8","White","18","7.671685900997019","20","22","22","67","57","10","10"
