"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","7","38.352000000000004","11","11","10","447","13","10","0"
"2","White","8","6.12","11","9","12","67","15","11","10"
"2","Pink","8","2.6260000000000003","8","7","10","23.5","13","8","0"
"2","Red","10","33.966","10","10","10","1400","7","10","10"
"2","Yellow","6","6.464","8","9","10","1380","8","8","10"
"2","Blue","14","42.42","10","11","14","332","16","11","10"
"2","Green","6","6.2620000000000005","8","7","8","213","7","6","0"
"3","Purple","9","38.313648","11","11","11","447","16","10","0"
"3","White","14","6.12","11","7","13","66.994","19","12","10"
"3","Pink","8","2.6787826000000003","8","9","12","23.5","17","9","0"
"3","Red","13","34.30566","10","11","11","1400","10","10","10"
"3","Yellow","7","6.5939264","8","11","14","1380","15","8","0"
"3","Blue","16","42.8442","10","12","16","332","20","12","10"
"3","Green","7","6.3814783338000005","8","9","7","213","10","7","0"
"4","Purple","9","39.083752324799995","11","13","15","447","20","12","0"
"4","White","14","6.11388","11","7","16","66.994","23","15","10"
"4","Pink","10","2.7055704260000004","8","10","18","23.5","24","12","0"
"4","Red","14","34.30566","10","11","11","1400","11","10","10"
"4","Yellow","11","6.72646432064","8","13","17","1380","22","8","0"
"4","Blue","16","43.272642","10","13","18","332","22","14","10"
"4","Green","11","6.3750968554662","8","7","8","212.994","13","9","0"
"5","Purple","9","40.26802910399376","11","15","17","447","24","12","0"
"5","White","16","6.292837541202121","11","9","17","66.994","28","15","10"
"5","Pink","10","2.7571924391710376","8","12","20","23.5","29","12","0"
"5","Red","15","34.960208562233994","10","12","12","1400","14","10","10"
"5","Yellow","13","6.71973785631936","8","13","17","1380","24","8","0"
"5","Blue","18","44.984655103705926","10","16","19","332","28","14","10"
"5","Green","15","6.49673306595881","8","7","6","212.988","18","9","0"
"6","Purple","9","40.63003868563867","11","16","16","447","25","12","0"
"6","White","18","6.412904252204504","11","11","17","66.994","32","15","10"
"6","Pink","14","2.809799395191177","8","14","22","23.5","36","12","0"
"6","Red","15","36.343353487076726","10","16","12","1400","19","10","10"
"6","Yellow","15","6.71301811846304","8","13","17","1380","26","8","0"
"6","Blue","18","45.888846671290416","10","18","20","332","31","15","10"
"6","Green","17","6.693590574590428","8","10","8","212.988","23","10","0"
"7","Purple","13","41.40525576075678","11","18","17","447","31","12","0"
"7","White","20","6.406491347952299","11","11","18","66.994","34","16","10"
"7","Pink","16","2.891760681589025","9","16","23","23.5","42","12","0"
"7","Red","15","36.70678702194749","10","17","12","1400","20","10","10"
"7","Yellow","17","6.841101832861503","8","15","17","1380","30","8","0"
"7","Blue","18","46.75981698111151","11","19","21","332","35","16","10"
"7","Green","19","6.828131745139696","8","12","13","212.988","30","12","0"
"8","Purple","13","43.03916917814937","12","20","18","447","36","12","0"
"8","White","20","6.798619870377764","14","14","21","66.994","42","18","10"
