"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","7","37.938024000000006","10","11","14","447","16","10","0"
"2","White","7","6.0600000000000005","10","9","12","67","14","10","10"
"2","Pink","4","2.5974","8","6","8","23.5","9","8","0"
"2","Red","10","34.34","10","11","12","1400","9","10","10"
"2","Yellow","7","6.4","8","8","9","1380","7","8","10"
"2","Blue","10","42","10","10","13","332","13","10","10"
"2","Green","6","6.255738","8","7","8","213","8","6","0"
"3","Purple","6","38.661877704117614","10","13","16","447","20","10","0"
"3","White","7","6.181806000000001","10","11","12","67","16","10","10"
"3","Pink","4","2.5948026","8","6","8","23.5","10","8","0"
"3","Red","11","35.03023400000001","10","13","13","1400","13","10","10"
"3","Yellow","7","6.464","8","9","12","1380","11","8","10"
"3","Blue","16","42.42","10","9","15","331.994","20","10","10"
"3","Green","6","6.3750968554662","8","9","8","213","11","6","0"
"4","Purple","6","39.04849648115879","10","13","19","447","23","10","0"
"4","White","7","6.306060300600001","10","12","15","67","20","10","10"
"4","Pink","6","2.618129875374","8","7","12","23.5","17","8","0"
"4","Red","10","35.734341703400005","10","15","17","1400","18","10","10"
"4","Yellow","8","6.464","8","9","17","1380","17","8","10"
"4","Blue","16","42.8442","10","10","16","331.994","22","10","10"
"4","Green","6","6.432408976196841","8","10","9","213","14","6","0"
"5","Purple","5","39.79353788916966","10","15","23","447","29","10","0"
"5","White","9","6.369120903606001","10","13","20","67","27","10","10"
"5","Pink","8","2.6416668629536124","8","6","10","23.494","19","8","0"
"5","Red","10","36.449028537468","11","16","20","1400","23","10","10"
"5","Yellow","10","6.464","8","7","17","1379.994","19","8","10"
"5","Blue","16","45.42559423886383","12","14","16","331.994","29","10","10"
"5","Green","9","6.6929344045507655","9","13","9","213","20","6","0"
"6","Purple","5","41.77339357930295","12","18","23","447","35","10","0"
"6","White","13","6.369120903606001","10","11","20","66.994","30","10","10"
"6","Pink","8","2.6945002002126848","9","7","11","23.494","22","8","0"
"6","Red","12","37.92156929038171","13","18","23","1400","31","10","10"
"6","Yellow","14","6.593280000000001","9","8","21","1379.994","27","8","10"
"6","Blue","16","47.26078824611393","14","16","17","331.994","34","10","10"
"6","Green","11","7.025929281795523","11","16","9","213","27","6","0"
"7","Purple","5","42.566252589438115","13","19","25","447","40","10","0"
"7","White","17","6.42637930052942","10","12","22","66.994","36","10","10"
"7","Pink","10","2.8316691757949157","10","9","9","23.488","27","8","0"
"7","Red","16","39.453600689713134","15","20","26","1400","40","10","10"
"7","Yellow","20","6.792397056000001","10","10","24","1379.994","36","8","10"
"7","Blue","16","49.61702744443605","15","20","18","331.994","41","10","10"
"7","Green","11","7.4492466356191835","13","20","9","213","34","6","0"
"8","Purple","5","44.68405969750594","15","22","24","447","45","10","0"
"8","White","19","6.746773592988948","11","15","25","66.994","45","10","10"
