"day","nation_name","military capacity","gdp","trade","resources","political stability","population","soft power","cybersecurity","nuclear"
"0","Purple","6","37.6","10","10","10","447","10","10","0"
"0","White","6","6","10","8","10","67","10","10","10"
"0","Pink","4","2.6","8","6","8","23.5","8","8","0"
"0","Red","10","34","10","10","10","1400","6","10","10"
"0","Yellow","7","6.4","8","8","8","1380","6","8","10"
"0","Blue","10","42","10","10","10","332","10","10","10"
"0","Green","6","6.2","8","6","8","213","6","6","0"
"2","Purple","8","38.7393176","10","11","9","446.994","13","11","0"
"2","White","7","6.1206000000000005","10","10","12","67","15","11","10"
"2","Pink","4","2.6522600000000005","8","8","10","23.5","13","9","0"
"2","Red","15","33.966","10","7","5","1399.9889999999998","10","9","10"
"2","Yellow","7","6.52864","8","10","9","1380","9","9","10"
"2","Blue","12","42","10","8","11","331.994","10","14","10"
"2","Green","8","6.2620000000000005","8","6","10","212.999","9","7","0"
"3","Purple","8","39.913157662597605","10","14","10","446.994","17","11","0"
"3","White","10","6.306060300600001","10","13","14","67","23","12","10"
"3","Pink","5","2.7298935041297403","8","10","10","23.5","17","9","0"
"3","Red","19","34.6487166","10","7","4","1399.9829999999997","15","9","10"
"3","Yellow","8","6.72646432064","8","12","11","1380","13","10","10"
"3","Blue","15","42.8013558","10","8","11","331.98800000000006","15","16","10"
"3","Green","8","6.3878662","8","8","10","212.999","11","7","0"
"4","Purple","10","42.322103286016755","11","17","9","446.98800000000006","24","13","0"
"4","White","11","6.432812112642061","10","15","16","67","28","13","10"
"4","Pink","7","2.784764363562748","8","11","12","23.499","20","10","0"
"4","Red","21","34.995203766","10","5","1","1399.9719999999995","16","10","10"
"4","Yellow","8","6.991900678976006","9","15","11","1380","18","11","10"
"4","Blue","16","43.66166305158001","10","10","18","331.98800000000006","22","22","10"
"4","Green","9","6.451744862000001","8","9","13","212.999","15","9","0"
"5","Purple","10","44.47223542135955","13","20","10","446.98800000000006","29","14","0"
"5","White","12","6.6866605149594625","11","18","16","67","33","14","10"
"5","Pink","7","2.926528418713924","9","15","12","23.499","25","10","0"
"5","Red","21","36.01600686081347","11","6","-1","1399.9669999999994","20","10","10"
"5","Yellow","8","7.486565485547025","12","19","10","1380","25","11","10"
"5","Blue","18","44.98465510370594","10","12","21","331.9870000000001","27","25","10"
"5","Green","9","6.516262310620001","8","10","15","212.999","18","10","0"
"6","Purple","10","47.203546243393404","14","25","12","446.98800000000006","36","16","0"
"6","White","13","7.027058475527714","12","22","17","67","40","15","10"
"6","Pink","10","2.985351639930074","9","15","10","23.493","28","10","0"
"6","Red","25","36.70318867011711","11","6","-4","1399.9609999999993","24","10","10"
"6","Yellow","8","7.8590460455162825","14","22","9","1380","30","11","10"
"6","Blue","20","46.30138740286533","10","13","19","331.9810000000001","30","26","10"
"6","Green","9","6.581424933726201","8","11","17","212.999","20","12","0"
"7","Purple","10","51.109665827532005","15","32","15","446.98800000000006","45","19","0"
"7","White","15","7.232745389020285","12","25","17","67","46","16","10"
"7","Pink","11","3.106264352050522","10","18","11","23.493","33","11","0"
"7","Red","27","38.18974121763419","12","7","-6","1399.9549999999992","28","11","10"
"7","Yellow","10","8.507718194841235","17","25","11","1379.999","38","12","10"
