day,nation_name,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,6,37.6,10,10,10,447.0,10,10,0
0,White,6,6.0,10,8,10,67.0,10,10,10
0,Pink,4,2.6,8,6,8,23.5,8,8,0
0,Red,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,7,6.4,8,8,8,1380.0,6,8,10
0,Blue,10,42.0,10,10,10,332.0,10,10,10
0,Green,6,6.2,8,6,8,213.0,6,6,0
2,Purple,9,38.31740424000001,10,11,11,446.999,15,11,0
2,White,6,6.0,10,8,11,67.0,10,11,10
2,Pink,4,2.6,8,5,8,23.495,10,10,0
2,Red,11,35.0268,11,12,9,1400.0,10,10,10
2,Yellow,7,6.593280000000001,9,10,8,1380.0,10,8,10
2,Blue,10,42.0,10,10,10,332.0,10,10,10
2,Green,8,6.2,8,4,6,212.994,6,6,0
3,Purple,10,39.47845990587625,10,14,12,446.999,21,11,0
3,White,7,6.0,10,8,14,67.0,15,12,10
3,Pink,7,2.6,8,3,8,23.489,14,11,0
3,Red,16,36.4090099981464,12,13,8,1399.994,18,10,20
3,Yellow,9,6.9289242368256,10,14,8,1380.0,17,8,10
3,Blue,12,42.0,10,10,11,332.0,13,10,10
3,Green,11,6.32462,8,4,4,212.988,9,6,0
4,Purple,14,42.283926259317276,10,19,10,446.99300000000005,32,11,0
4,White,9,6.1206000000000005,10,10,14,67.0,18,13,10
4,Pink,9,2.6522600000000005,8,4,9,23.488,18,12,0
4,Red,18,36.77310009812787,12,13,7,1399.9889999999998,26,10,20
4,Yellow,10,7.282369009285179,10,19,8,1380.0,23,8,10
4,Blue,14,42.42,10,11,11,332.0,16,10,10
4,Green,14,6.7137115748940985,8,10,5,212.988,20,6,0
5,Purple,16,45.33409216849997,10,26,12,446.99300000000005,45,11,0
5,White,13,6.243624060000001,10,10,12,66.994,22,14,10
5,Pink,11,2.7596818345200003,9,5,8,23.482,24,13,0
5,Red,21,37.474727170690144,12,13,4,1399.9829999999997,33,10,20
5,Yellow,12,7.884989076417828,11,26,9,1380.0,36,8,10
5,Blue,16,43.272642,10,13,11,332.0,20,10,10
5,Green,15,7.056178338686395,8,15,5,212.988,26,6,0
6,Purple,16,47.12766326215041,10,30,14,446.99300000000005,54,12,0
6,White,15,6.369120903606001,10,12,16,66.994,34,16,10
6,Pink,13,2.815151439393852,9,7,8,23.482,29,13,0
6,Red,24,37.81162496795465,12,12,2,1399.9769999999996,40,10,20
6,Yellow,14,8.287202764243853,11,31,10,1380.0,44,9,10
6,Blue,18,44.1424221042,10,15,11,332.0,24,10,10
6,Green,19,7.490275492749897,8,19,3,212.982,34,6,0
7,Purple,18,48.992194137150875,10,34,15,446.99300000000005,64,12,0
7,White,17,6.497140233768482,10,14,17,66.994,41,17,10
7,Pink,15,2.8717359833256686,9,9,10,23.482,37,14,0
7,Red,26,38.1897412176342,12,13,3,1399.9769999999996,51,10,20
7,Yellow,16,8.709933392436788,11,36,11,1380.0,53,9,10
7,Blue,23,44.53926247891676,10,14,10,331.994,31,10,10
7,Green,22,7.872354820897871,8,22,1,212.976,40,6,0
8,Purple,20,50.98147367781768,10,36,15,446.9870000000001,74,12,0
8,White,20,6.627732752467228,10,16,19,66.994,52,18,10
8,Pink,17,2.9294578765905146,9,9,9,23.476,42,15,0
8,Red,26,38.95735501610865,12,15,6,1399.9769999999996,64,10,20
8,Yellow,18,9.154227531152651,11,41,13,1380.0,64,9,10
8,Blue,27,45.38906715308825,10,14,9,331.98800000000006,39,10,10
8,Green,25,8.440229907814658,8,27,-1,212.97,48,6,0
9,Purple,24,52.99847441890167,10,38,14,446.9810000000001,85,12,0
9,White,22,6.694010079991901,10,17,22,66.994,64,19,10
9,Pink,19,2.988339979909984,9,11,10,23.476,49,16,0
9,Red,30,39.740397851932435,12,15,6,1399.9709999999995,77,10,20
9,Yellow,18,9.525925877369849,11,45,13,1380.0,69,9,10
9,Blue,27,45.38906715308825,10,14,11,331.98800000000006,43,10,10
9,Green,27,8.870766458267802,8,30,-3,212.964,53,6,0
10,Purple,24,54.54977681107653,10,41,17,446.9810000000001,95,12,-10
10,White,24,6.694010079991901,10,17,25,66.994,73,20,10
10,Pink,22,3.018223379709084,9,10,10,23.47,57,17,0
10,Red,34,39.700657454080506,12,13,5,1399.9649999999995,89,10,20
10,Yellow,18,10.01184383362337,11,50,17,1380.0,79,11,10
10,Blue,29,45.797114866794516,10,15,12,331.98800000000006,50,10,10
10,Green,31,9.416497346726738,8,34,-5,212.958,61,6,0
11,Purple,26,57.275031295494216,10,46,18,446.9810000000001,109,12,-10
11,White,27,6.694010079991901,10,15,27,66.988,84,21,10
11,Pink,24,3.018223379709084,9,9,14,23.468999999999998,65,18,0
11,Red,36,40.45814202823862,12,12,0,1399.9539999999993,100,10,20
11,Yellow,21,10.84139223094021,11,58,19,1380.0,94,11,10
11,Blue,34,47.13762843112888,10,18,18,331.98800000000006,61,10,20
11,Green,34,9.995801681631281,8,38,-3,212.952,69,6,10
12,Purple,30,57.78993382684071,10,45,18,446.97500000000014,118,12,-10
12,White,31,6.694010079991901,10,13,28,66.982,93,22,10
12,Pink,24,3.1718721376644026,10,13,18,23.468999999999998,80,19,0
12,Red,36,40.45814202823862,12,12,0,1399.9539999999993,107,10,20
