day,nation_name,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,6,37.6,10,10,10,447.0,10,10,0
0,White,6,6.0,10,8,10,67.0,10,10,10
0,Pink,4,2.6,8,6,8,23.5,8,8,0
0,Red,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,7,6.4,8,8,8,1380.0,6,8,10
0,Blue,10,42.0,10,10,10,332.0,10,10,10
0,Green,6,6.2,8,6,8,213.0,6,6,0
2,Purple,6,38.35576,10,12,12,447.0,14,11,0
2,White,10,6.1206000000000005,10,9,11,66.999,14,10,10
2,Pink,4,2.6787826000000003,8,9,9,23.5,11,9,0
2,Red,14,34.0,10,8,8,1399.994,8,11,10
2,Yellow,8,6.5939264,8,11,9,1380.0,10,10,10
2,Blue,10,42.8013558,10,11,10,331.995,13,11,10
2,Green,8,6.32462,8,8,10,213.0,12,8,0
3,Purple,7,39.913157662597605,10,16,12,447.0,19,11,0
3,White,12,6.243624060000001,10,11,12,66.999,20,10,10
3,Pink,6,2.8435817089793383,8,15,11,23.5,20,11,0
3,Red,17,34.34,10,7,4,1399.9879999999998,8,12,10
3,Yellow,8,6.861666253484864,8,15,10,1380.0,14,11,10
3,Blue,15,44.49472321643785,10,13,10,331.98900000000003,22,12,10
3,Green,10,6.516262310620001,8,11,13,213.0,19,11,0
4,Purple,8,41.53379191546129,10,20,14,447.0,26,13,0
4,White,14,6.561468354894902,11,15,13,66.999,29,10,10
4,Pink,10,3.018519283961996,8,20,14,23.499,32,12,0
4,Red,17,35.03023400000001,10,8,-1,1399.9829999999997,8,12,10
4,Yellow,9,7.210973234684343,9,19,11,1380.0,20,12,10
4,Blue,18,44.93967044860223,10,14,10,331.98900000000003,25,13,10
4,Green,10,6.581424933726201,8,12,14,213.0,20,12,0
5,Purple,9,42.79230734429169,10,23,12,447.0,29,13,0
5,White,14,6.69335386882829,11,17,14,66.999,32,10,10
5,Pink,10,3.172183105521035,9,23,19,23.499,40,13,0
5,Red,21,35.03023400000001,10,7,-1,1399.9819999999997,5,12,20
5,Yellow,11,7.653843017295503,10,24,11,1380.0,29,12,10
5,Blue,22,46.30138740286532,10,16,8,331.98400000000004,31,15,10
5,Green,10,6.647239183063464,8,12,16,213.0,21,13,0
6,Purple,9,44.52984661962238,10,27,14,447.0,35,14,0
6,White,19,6.827890281591739,11,18,16,66.99799999999999,38,10,10
6,Pink,11,3.367336287906637,9,29,20,23.499,47,14,0
6,Red,21,35.03023400000001,10,5,-8,1399.9719999999995,2,12,20
6,Yellow,12,8.124708592395935,10,30,13,1380.0,38,14,10
6,Blue,26,47.23204528966292,10,17,11,331.98300000000006,37,17,10
6,Green,12,6.780848690643039,8,14,18,213.0,27,15,0
7,Purple,10,46.80131632663464,10,32,13,447.0,41,14,0
7,White,22,7.104433493776768,12,20,18,66.99799999999999,46,10,10
7,Pink,12,3.469369944766496,9,32,22,23.499,52,15,0
7,Red,21,35.6986073616966,10,6,-14,1399.9669999999994,2,12,20
7,Yellow,13,8.623696428155238,11,35,15,1380.0,48,14,10
7,Blue,28,48.18140939998515,10,18,12,331.9820000000001,40,18,10
7,Green,12,7.056178338686395,8,17,22,213.0,35,17,0
8,Purple,10,50.177345758928,10,39,17,447.0,52,15,0
8,White,26,7.3189873852888265,13,22,18,66.99799999999999,49,10,20
8,Pink,14,3.5744953234628656,9,35,25,23.499,60,17,0
8,Red,23,36.05559343531357,10,6,-20,1399.9619999999993,3,12,20
8,Yellow,17,9.153330145844238,12,38,16,1379.994,59,15,10
8,Blue,30,48.18140939998515,10,17,14,331.9810000000001,42,19,10
8,Green,14,7.198007523293993,8,19,28,213.0,46,20,0
9,Purple,11,53.79690626304346,10,46,17,447.0,61,16,0
9,White,28,7.3921772591417145,13,23,19,66.99799999999999,52,10,20
9,Pink,16,3.7196341673217055,9,38,26,23.497999999999998,66,18,0
9,Red,26,36.416149369666705,10,4,-27,1399.950999999999,2,12,20
9,Yellow,20,9.620241975165595,12,43,18,1379.994,67,16,10
9,Blue,32,48.663223493985,10,16,15,331.97500000000014,45,22,10
9,Green,16,7.269987598526932,8,20,30,213.0,50,22,0
10,Purple,11,54.3348753256739,10,47,16,447.0,63,16,0
10,White,29,7.3921772591417145,13,23,19,66.99799999999999,52,10,20
10,Pink,19,3.9093728925504574,9,42,28,23.497999999999998,73,19,0
10,Red,28,37.51959511171698,10,6,-29,1399.9499999999991,5,12,20
10,Yellow,23,10.010862376527637,12,47,20,1379.994,76,18,10
10,Blue,32,49.641354286214096,10,17,15,331.97000000000014,47,24,10
10,Green,19,7.490275492749897,8,22,33,213.0,59,23,0
11,Purple,11,56.541089146746316,10,51,17,447.0,69,18,0
11,White,32,7.4660990317331315,13,23,17,66.99699999999999,51,10,20
11,Pink,22,4.108790199659038,9,47,32,23.497999999999998,85,23,0
11,Red,32,37.51959511171698,10,3,-36,1399.938999999999,-2,12,30
11,Yellow,26,10.3142015173988,12,49,23,1379.993,81,22,10
11,Blue,32,50.639145507367004,10,18,17,331.96500000000015,52,28,10
11,Green,21,7.565178247677396,8,23,37,213.0,62,27,0
12,Purple,12,58.24863003897806,11,53,18,447.0,74,18,0
12,White,36,7.691575222491472,14,25,18,66.99699999999999,58,10,20
