day,nation_name,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,6,37.6,10,10,10,447.0,10,10,0
0,White,6,6.0,10,8,10,67.0,10,10,10
0,Pink,4,2.6,8,6,8,23.5,8,8,0
0,Red,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,10,42.0,10,10,10,332.0,10,10,10
0,Green,6,6.2,8,6,8,213.0,6,6,0
0,Orange,6,10.0,6,6,6,143.0,5,7,10
2,Purple,6,38.35576,10,11,14,447.0,16,11,0
2,White,10,6.0600000000000005,10,8,10,66.933,13,10,10
2,Pink,6,2.6260000000000003,8,6,10,23.4765,13,10,0
2,Red,7,33.966,10,7,6,1379.1048250000001,11,10,10
2,Yellow,7,20.1798,8,8,9,1380.0,8,9,10
2,Blue,10,42.42,10,11,12,332.0,11,12,10
2,Green,11,6.2,8,5,8,212.787,9,6,0
2,Orange,6,10.0,6,6,6,143.0,5,7,10
3,Purple,8,39.126710776,10,12,18,447.0,25,12,0
3,White,12,6.181806000000001,10,10,10,66.933,17,10,10
3,Pink,8,2.6522600000000005,8,6,11,23.4530235,20,11,0
3,Red,7,33.932034,10,6,9,1372.209300875,24,10,10
3,Yellow,7,20.585413980000002,8,8,13,1380.0,11,10,10
3,Blue,12,42.8442,10,12,15,332.0,19,13,10
3,Green,13,6.32462,8,6,11,212.787,17,6,0
3,Orange,6,10.0,6,6,6,143.0,5,7,10
4,Purple,12,40.31228923922358,10,13,24,447.0,40,13,0
4,White,14,6.243624060000001,10,11,10,66.933,20,10,10
4,Pink,12,2.6787826000000003,8,6,13,23.4295704765,32,12,0
4,Red,9,33.898101966,10,3,8,1357.1629915856731,38,10,10
4,Yellow,7,21.209172609007982,8,8,19,1380.0,19,11,10
4,Blue,14,43.70536842,10,13,19,332.0,29,14,10
4,Green,14,6.32462,8,6,13,212.787,22,6,0
4,Orange,6,10.0,6,6,6,143.0,5,7,10
5,Purple,14,41.122566252931975,10,13,29,447.0,53,13,0
5,White,17,6.369120903606001,10,12,13,66.933,29,10,10
5,Pink,15,2.7599523915626003,8,8,18,23.4295704765,51,13,0
5,Red,12,34.5794538155166,10,4,11,1357.1629915856731,53,10,10
5,Yellow,7,21.851831748233533,8,8,25,1380.0,27,12,10
5,Blue,16,44.583846325242,10,15,24,332.0,41,16,10
5,Green,17,6.451744862000001,8,6,17,212.787,31,6,0
5,Orange,6,10.0,6,6,6,143.0,5,7,10
6,Purple,15,42.36862113296207,10,15,32,447.0,64,13,0
6,White,20,6.562111636106167,10,15,15,66.933,39,10,10
6,Pink,18,2.900737701329823,8,10,24,23.4295704765,70,13,0
6,Red,14,35.274500837208485,10,4,15,1357.1629915856731,67,10,10
6,Yellow,7,22.73910374305712,8,8,34,1380.0,37,15,10
6,Blue,18,45.479981636379364,10,17,27,332.0,50,17,10
6,Green,20,6.581424933726201,8,7,18,212.787,36,6,0
6,Orange,6,10.1,6,6,9,143.0,10,7,10
7,Purple,17,43.65243272191196,10,17,35,447.0,76,13,0
7,White,21,6.694010079991901,10,17,17,66.933,46,10,10
7,Pink,20,2.9297450783431214,8,11,27,23.4295704765,84,13,0
7,Red,17,36.34335348707674,10,6,18,1357.1629915856731,83,10,10
7,Yellow,7,23.428121325575496,8,8,40,1380.0,45,16,10
7,Blue,20,46.8580705599433,10,19,29,332.0,56,18,10
7,Green,22,6.780848690643039,8,8,22,212.787,45,6,0
7,Orange,6,10.1,6,6,11,143.0,14,7,10
8,Purple,19,44.97514508581861,10,20,37,447.0,88,13,0
8,White,23,6.828559682599738,10,19,19,66.933,55,10,10
8,Pink,22,2.988632954417818,8,12,30,23.4295704765,98,13,0
8,Red,20,37.07385489216698,10,7,21,1357.1629915856731,99,10,10
8,Yellow,7,24.623190968141984,8,9,50,1380.0,56,20,10
8,Blue,22,48.277916955980146,10,21,34,332.0,66,20,10
8,Green,24,7.12674012207326,8,12,25,212.787,56,6,0
8,Orange,6,10.1,6,6,14,143.0,20,7,10
9,Purple,21,47.26932948990099,10,24,40,447.0,102,13,0
9,White,25,6.965813732219992,10,21,21,66.933,64,10,10
9,Pink,26,3.141083271153182,8,16,33,23.4295704765,117,13,0
9,Red,24,38.197229769254534,10,9,24,1357.1629915856731,118,10,10
9,Yellow,9,25.369298277667653,8,9,57,1380.0,67,21,10
9,Blue,24,49.740786117663305,10,24,38,332.0,80,21,10
9,Green,27,7.64083003015417,8,17,29,212.787,70,6,0
9,Orange,9,10.1,6,6,18,143.0,31,7,10
10,Purple,23,49.18865381720223,10,28,42,447.0,115,13,0
10,White,27,7.105826588237615,10,23,23,66.933,72,10,10
10,Pink,29,3.204219044903361,8,17,34,23.4295704765,128,13,0
10,Red,26,38.57920206694708,10,10,26,1357.1629915856731,130,10,10
10,Yellow,9,25.879221173048773,8,9,64,1380.0,76,23,10
10,Blue,26,52.2780661095387,10,27,45,332.0,94,23,10
10,Green,30,8.110895044325899,8,22,30,212.787,79,6,0
10,Orange,9,10.1,6,6,20,143.0,35,7,10
11,Purple,25,50.67911921651728,10,31,44,447.0,127,13,0
11,White,29,7.176884854119991,10,24,25,66.933,81,10,10
11,Pink,31,3.2686238477059186,8,18,38,23.4295704765,143,13,0
