day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,11,447.0,10,11,0
2,White,2,5,6.0,10,8,14,67.0,14,11,10
2,Pink,1,3,2.6,8,6,10,23.5,10,8,0
2,Red,6,10,34.0,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.0,8,8,13,1380.0,11,10,10
2,Blue,7,10,42.0,10,10,12,332.0,10,13,10
2,Green,3,6,6.2,8,6,8,213.0,6,6,0
2,Orange,7,7,9.99,6,6,6,143.0,5,8,10
3,Purple,5,5,37.6,10,10,12,447.0,11,12,0
3,White,2,5,6.0,10,8,14,67.0,14,11,10
3,Pink,1,2,2.6,8,6,11,23.5,11,8,0
3,Red,6,10,34.68,11,11,10,1400.0,8,10,10
3,Yellow,3,7,20.808,10,10,15,1380.0,17,10,10
3,Blue,7,11,41.958,10,10,12,332.0,10,14,10
3,Green,3,6,6.324000000000001,9,7,8,213.0,8,6,0
3,Orange,7,7,9.99,6,6,6,143.0,5,9,10
4,Purple,5,4,37.6,10,10,13,447.0,12,12,0
4,White,2,6,5.994,10,8,14,67.0,14,12,10
4,Pink,1,1,2.652,9,7,12,23.5,14,8,0
4,Red,6,10,34.68,11,11,10,1400.0,8,10,10
4,Yellow,3,7,21.648643200000002,12,12,17,1380.0,23,10,10
4,Blue,7,12,41.916042,10,10,12,332.0,10,15,10
4,Green,3,6,6.450480000000001,10,8,8,213.0,10,6,0
4,Orange,7,8,9.98001,6,6,6,143.0,5,10,10
5,Purple,5,3,37.6,10,10,14,447.0,13,13,0
5,White,2,5,5.994,10,8,16,67.0,16,13,10
5,Pink,1,0,2.652,9,7,13,23.5,15,8,0
5,Red,6,10,34.68,11,11,10,1400.0,8,10,10
5,Yellow,3,7,22.081616064000002,13,13,19,1380.0,27,11,10
5,Blue,7,11,41.916042,10,10,14,332.0,11,17,10
5,Green,3,6,6.5794896000000005,11,9,8,213.0,12,6,0
5,Orange,7,9,9.97002999,6,6,6,143.0,5,11,10
6,Purple,5,2,37.6,10,10,15,447.0,14,14,0
6,White,2,4,5.994,10,8,17,67.0,17,14,10
6,Pink,1,0,2.652,9,7,14,23.5,16,8,0
6,Red,6,10,35.3736,12,12,10,1400.0,10,10,10
6,Yellow,3,7,22.9737133529856,15,15,21,1380.0,33,12,10
6,Blue,7,10,41.916042,10,10,15,332.0,12,18,10
6,Green,3,6,6.711079392,12,10,8,213.0,14,6,0
6,Orange,7,10,9.96005996001,6,6,6,143.0,5,12,10
7,Purple,5,1,37.6,10,10,16,447.0,15,15,0
7,White,2,2,5.994,10,8,20,67.0,21,14,0
