day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,11,447.0,10,11,0
2,White,2,5,6.0,10,8,11,67.0,11,10,10
2,Pink,1,4,2.6,8,6,11,23.5,11,9,0
2,Red,6,10,34.0,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.0,8,8,9,1380.0,7,8,10
2,Blue,7,10,42.0,10,10,10,332.0,10,10,10
2,Green,3,6,6.2,8,6,9,213.0,7,6,0
2,Orange,7,5,10.0,6,6,8,143.0,8,7,0
3,Purple,5,6,37.6,10,10,11,447.0,10,11,0
3,White,2,5,6.0,10,8,13,67.0,12,11,10
3,Pink,1,4,2.6,8,6,13,23.5,13,9,0
3,Red,6,10,34.0,10,10,11,1400.0,7,10,10
3,Yellow,3,7,20.0,8,8,9,1380.0,7,8,10
3,Blue,7,10,42.0,10,10,12,332.0,11,11,10
3,Green,3,6,6.2,8,6,10,213.0,8,6,0
3,Orange,7,4,10.0,6,6,14,143.0,15,9,0
4,Purple,5,6,37.6,10,10,11,447.0,10,11,0
4,White,2,5,6.0,10,8,14,67.0,12,13,10
4,Pink,1,4,2.6,8,6,15,23.5,15,9,0
4,Red,6,10,34.0,10,10,12,1400.0,8,10,10
4,Yellow,3,7,20.0,8,8,9,1380.0,7,8,10
4,Blue,7,10,42.0,10,10,13,332.0,11,13,10
4,Green,3,6,6.2,8,6,11,213.0,9,6,0
4,Orange,7,4,10.0,6,6,16,143.0,17,11,0
5,Purple,5,6,37.6,10,10,11,447.0,10,11,0
5,White,2,5,6.0,10,8,16,67.0,13,15,10
5,Pink,1,4,2.6,8,6,16,23.5,16,9,0
5,Red,6,11,33.966,10,10,12,1400.0,8,10,10
5,Yellow,3,8,19.98,8,8,10,1380.0,8,9,10
5,Blue,7,10,42.0,10,10,14,332.0,11,15,10
5,Green,3,6,6.2,8,6,14,213.0,12,6,0
5,Orange,7,3,10.0,6,6,20,143.0,22,13,0
6,Purple,5,6,37.6,10,10,11,447.0,10,11,0
6,White,2,5,6.0,10,8,18,67.0,14,18,10
6,Pink,1,4,2.6,8,6,17,23.5,17,9,0
6,Red,6,12,33.932034,10,10,12,1400.0,8,10,10
6,Yellow,3,8,19.98,8,8,11,1380.0,9,9,10
6,Blue,7,11,41.958,10,10,16,332.0,12,16,10
6,Green,3,6,6.2,8,6,15,213.0,13,6,0
6,Orange,7,3,10.0,6,6,23,143.0,24,16,0
7,Purple,5,7,37.562400000000004,10,10,12,447.0,10,13,0
7,White,2,5,6.0,10,8,21,67.0,16,20,10
7,Pink,1,4,2.6,8,6,19,23.5,19,10,0
