day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,38.352000000000004,11,11,15,447.0,16,12,0
2,White,2,6,6.0,10,8,13,67.0,12,11,10
2,Pink,1,4,2.6,8,6,9,23.5,9,8,0
2,Red,6,10,34.68,11,11,11,1400.0,9,10,10
2,Yellow,3,7,20.0,8,8,12,1380.0,9,9,10
2,Blue,7,10,42.0,10,10,12,332.0,12,13,10
2,Green,3,6,6.2,8,6,11,213.0,9,6,0
2,Orange,7,6,10.0,6,6,7,143.0,6,8,10
3,Purple,5,6,38.352000000000004,11,11,16,447.0,16,13,0
3,White,2,6,6.0,10,8,15,67.0,13,12,10
3,Pink,1,4,2.6,8,6,10,23.5,10,8,0
3,Red,6,10,34.68,11,11,11,1400.0,9,10,10
3,Yellow,3,7,20.0,8,8,14,1380.0,11,11,10
3,Blue,7,10,42.0,10,10,15,332.0,14,17,10
3,Green,3,6,6.2,8,6,12,213.0,10,6,0
3,Orange,7,6,10.0,6,6,7,143.0,6,9,10
4,Purple,5,6,38.352000000000004,11,11,18,447.0,16,15,0
4,White,2,6,6.0,10,8,17,67.0,13,14,10
4,Pink,1,4,2.6,8,6,11,23.5,11,9,0
4,Red,6,11,35.338226399999996,12,12,11,1400.0,11,10,10
4,Yellow,3,7,20.0,8,8,18,1380.0,15,14,10
4,Blue,7,10,42.0,10,10,17,332.0,16,19,10
4,Green,3,6,6.324000000000001,9,7,13,213.0,13,6,0
4,Orange,7,6,10.0,6,6,7,143.0,6,10,10
5,Purple,5,7,38.313648,11,11,21,447.0,16,19,0
5,White,2,6,6.0,10,8,20,67.0,14,17,10
5,Pink,1,4,2.6,8,6,11,23.5,11,10,0
5,Red,6,11,35.338226399999996,12,12,11,1400.0,11,10,10
5,Yellow,3,7,20.0,8,8,20,1380.0,17,17,10
5,Blue,7,10,42.0,10,10,19,332.0,18,23,10
5,Green,3,6,6.324000000000001,9,7,13,213.0,13,7,0
5,Orange,7,6,10.0,6,6,7,143.0,6,11,10
6,Purple,5,8,38.275334352,11,11,25,447.0,17,23,0
6,White,2,6,6.0,10,8,23,67.0,15,20,10
6,Pink,1,4,2.6,8,6,13,23.5,13,10,0
6,Red,6,11,35.338226399999996,12,12,11,1400.0,11,10,10
6,Yellow,3,7,20.4,9,9,23,1380.0,22,19,10
6,Blue,7,10,42.0,10,10,21,332.0,20,26,10
6,Green,3,6,6.450480000000001,10,8,13,213.0,15,8,0
6,Orange,7,6,10.0,6,6,7,143.0,6,12,10
7,Purple,5,9,38.237059017648,11,11,28,447.0,18,26,0
7,White,2,6,6.0,10,8,27,67.0,17,23,10
