day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.224000000000004,9,9,11,447.0,9,12,0
2,White,2,6,6.0,10,8,10,67.0,11,10,10
2,Pink,1,4,2.6,8,6,8,23.5,9,8,0
2,Red,6,11,33.966,10,10,11,1400.0,7,11,10
2,Yellow,3,7,20.0,8,8,8,1380.0,6,9,10
2,Blue,7,10,42.0,10,10,11,332.0,12,11,10
2,Green,3,6,6.2,8,6,8,213.0,6,6,0
2,Orange,7,6,9.7,4,4,3,143.0,1,7,10
3,Purple,5,5,35.3274372,9,8,9,446.553,10,12,0
3,White,2,5,6.0,10,8,11,67.0,12,11,10
3,Pink,1,5,2.5974,8,6,8,23.5,9,9,0
3,Red,6,12,33.932034,10,10,12,1400.0,8,11,10
3,Yellow,3,7,20.0,8,8,9,1380.0,7,10,10
3,Blue,7,11,41.958,10,10,11,332.0,13,11,10
3,Green,3,6,6.2,8,6,8,213.0,6,7,0
3,Orange,7,5,9.690299999999999,4,4,2,143.0,0,7,10
4,Purple,5,6,35.292109762799996,9,8,8,446.553,10,13,0
4,White,2,4,6.0,10,8,12,67.0,13,11,10
4,Pink,1,6,2.5948026,8,6,8,23.5,9,10,0
4,Red,6,13,33.898101966,10,10,12,1400.0,8,12,10
4,Yellow,3,8,19.98,8,8,11,1380.0,9,12,10
4,Blue,7,12,41.916042,10,10,13,332.0,14,12,10
4,Green,3,6,6.2,8,6,8,213.0,6,8,0
4,Orange,7,5,9.690299999999999,4,4,2,143.0,0,7,10
5,Purple,5,7,35.256817653037196,9,8,8,446.553,10,14,0
5,White,2,3,6.0,10,8,13,67.0,14,11,10
5,Pink,1,7,2.5922077974,8,6,8,23.5,9,11,0
5,Red,6,14,33.864203864033996,10,10,12,1400.0,8,13,10
5,Yellow,3,9,19.96002,8,8,11,1380.0,9,13,10
5,Blue,7,13,41.874125958,10,10,13,332.0,14,12,10
5,Green,3,6,6.2,8,6,8,213.0,6,9,0
5,Orange,7,5,9.690299999999999,4,4,2,143.0,0,7,10
6,Purple,5,8,35.22156083538416,9,8,8,446.553,10,15,0
6,White,2,2,6.0,10,8,14,67.0,15,12,10
6,Pink,1,8,2.5896155896026,8,6,8,23.5,9,12,0
6,Red,6,15,33.83033966016996,10,10,13,1400.0,9,15,10
6,Yellow,3,11,19.94005998,8,8,13,1380.0,11,15,10
6,Blue,7,13,41.874125958,10,10,14,332.0,15,12,10
6,Green,3,6,6.2,8,6,8,213.0,6,10,0
6,Orange,7,5,9.690299999999999,4,4,2,143.0,0,8,10
7,Purple,5,9,35.18633927454878,9,8,8,446.553,10,16,0
