day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,5,35.68428,10,9,11,446.553,12,11,0
2,White,2,7,6.0,10,8,11,67.0,11,11,10
2,Pink,1,4,2.6,8,6,9,23.5,10,8,0
2,Red,6,11,34.0,10,10,12,1400.0,9,11,10
2,Yellow,3,9,20.0,8,8,8,1380.0,9,8,10
2,Blue,7,11,42.0,10,10,11,332.0,12,11,10
2,Green,3,7,6.1938,8,6,8,213.0,7,6,0
2,Orange,7,6,9.99,6,6,6,143.0,3,8,10
3,Purple,5,6,33.866165934,10,8,11,446.106447,17,11,0
3,White,2,9,6.0,10,8,12,67.0,14,12,10
3,Pink,1,6,2.6,8,6,9,23.5,13,8,0
3,Red,6,13,33.966,10,10,13,1400.0,11,12,10
3,Yellow,3,12,20.0,8,8,8,1380.0,13,9,10
3,Blue,7,14,41.958,10,10,11,332.0,14,11,10
3,Green,3,10,6.1876062,8,6,7,213.0,8,6,0
3,Orange,7,6,9.97002999,6,6,6,143.0,2,10,10
4,Purple,5,7,32.1406847796627,10,7,14,445.660340553,24,14,0
4,White,2,12,5.994,10,8,14,67.0,17,14,10
4,Pink,1,8,2.6,8,6,10,23.5,16,9,0
4,Red,6,15,33.932034,10,10,14,1400.0,15,13,10
4,Yellow,3,15,20.0,8,8,8,1380.0,16,9,10
4,Blue,7,17,41.916042,10,10,12,332.0,17,12,10
4,Green,3,13,6.1814185938,8,6,6,213.0,9,7,0
4,Orange,7,6,9.95009990004999,6,6,6,143.0,1,12,10
5,Purple,5,8,30.503116890138884,10,6,18,445.21468021244704,31,18,0
5,White,2,14,5.994,10,8,16,67.0,20,16,10
5,Pink,1,9,2.5974,8,6,12,23.5,17,11,0
5,Red,6,16,33.898101966,10,10,14,1400.0,17,13,10
5,Yellow,3,18,20.0,8,8,9,1380.0,22,10,10
5,Blue,7,19,41.874125958,10,10,13,332.0,19,13,10
5,Green,3,17,6.1814185938,8,6,6,213.0,13,7,0
5,Orange,7,6,9.93020965034979,6,6,5,143.0,1,13,10
6,Purple,5,12,30.472613773248746,10,6,22,445.21468021244704,37,22,0
6,White,2,17,5.9880059999999995,10,8,18,67.0,23,18,10
6,Pink,1,10,2.5974,8,6,12,23.5,17,12,0
6,Red,6,17,33.864203864033996,10,10,15,1400.0,20,14,10
6,Yellow,3,20,20.0,8,8,9,1380.0,25,11,10
6,Blue,7,21,41.874125958,10,10,14,332.0,22,14,10
6,Green,3,20,6.1752371752062,8,6,6,213.0,15,7,0
6,Orange,7,7,9.92027944069944,6,6,6,143.0,4,14,10
