day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,5,36.397965600000006,11,10,15,446.553,15,13,0
2,White,2,8,5.994,10,8,11,67.0,12,11,10
2,Pink,1,4,2.6,8,6,8,23.5,8,8,0
2,Red,6,12,33.966,10,10,12,1400.0,9,11,10
2,Yellow,3,8,20.4,9,9,9,1380.0,10,9,10
2,Blue,7,11,42.84,11,11,10,332.0,13,10,10
2,Green,3,8,6.324000000000001,9,7,9,213.0,11,7,0
2,Orange,7,7,9.98001,6,6,6,143.0,3,7,10
3,Purple,5,7,38.58718646616636,14,13,23,446.553,28,18,0
3,White,2,9,5.9880059999999995,10,8,16,67.0,16,14,10
3,Pink,1,6,2.5974,8,6,9,23.5,10,8,0
3,Red,6,14,33.966,10,10,15,1400.0,13,13,10
3,Yellow,3,9,21.22416,11,11,10,1380.0,16,10,10
3,Blue,7,12,44.481639098736004,13,13,10,332.0,15,10,10
3,Green,3,11,6.444029520000001,10,8,9,213.0,15,7,0
3,Orange,7,6,9.471528490499999,6,5,4,142.857,3,7,10
4,Purple,5,8,40.90808194441208,17,16,32,446.553,41,24,0
4,White,2,10,5.982017994,10,8,21,67.0,21,17,10
4,Pink,1,8,2.5948026,8,6,9,23.5,11,8,0
4,Red,6,15,33.932034,10,10,18,1400.0,15,15,10
4,Yellow,3,11,22.059534447936002,13,13,12,1380.0,22,12,10
4,Blue,7,13,45.28057470822118,14,14,12,332.0,18,10,10
4,Green,3,12,6.437585490480001,10,8,9,213.0,15,8,0
4,Orange,7,5,8.997952065975,6,4,0,142.714143,2,7,10
5,Purple,5,9,44.23594327704642,21,20,40,446.553,56,29,0
5,White,2,11,5.976035976005999,10,8,22,67.0,20,20,10
5,Pink,1,12,2.69693299241496,10,8,9,23.5,19,8,0
5,Red,6,16,35.3028881736,12,12,19,1400.0,20,17,10
5,Yellow,3,13,23.8540715715527,17,17,14,1380.0,33,14,10
5,Blue,7,15,46.14000001618322,15,15,14,332.0,24,11,10
5,Green,3,16,6.5597708630893115,11,9,9,213.0,20,8,0
5,Orange,7,5,8.997952065975,6,3,2,142.714143,5,4,0
6,Purple,5,10,47.83452522337983,25,23,47,446.553,71,32,0
6,White,2,13,5.958125790209873,10,7,24,67.0,23,22,10
6,Pink,1,13,2.8030831962232154,12,10,11,23.5,26,8,0
6,Red,6,18,35.26758528542641,12,12,21,1400.0,22,19,10
6,Yellow,3,14,25.3141315843043,20,20,16,1380.0,41,16,10
6,Blue,7,16,47.015737216490386,16,15,15,332.0,29,9,10
6,Green,3,17,6.5597708630893115,11,9,9,213.0,21,9,0
