day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,38.352000000000004,11,11,14,447.0,16,11,0
2,White,2,10,5.994,10,8,13,67.0,15,12,10
2,Pink,1,2,2.4699999999999998,8,5,8,23.4765,9,8,0
2,Red,6,12,33.932034,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.808,10,10,10,1380.0,12,9,10
2,Blue,7,11,42.84,11,11,12,332.0,15,11,10
2,Green,3,6,6.2,8,6,8,213.0,6,6,0
2,Orange,7,6,9.98001,6,6,6,143.0,2,7,10
3,Purple,5,7,39.07992096,12,11,16,447.0,22,8,0
3,White,2,11,6.10776612,11,9,16,67.0,21,12,10
3,Pink,1,3,2.5168805999999995,9,6,10,23.4765,13,8,0
3,Red,6,13,33.898101966,10,10,11,1400.0,8,10,10
3,Yellow,3,8,21.626994556800003,12,12,15,1380.0,21,10,10
3,Blue,7,12,43.653103200000004,12,12,12,332.0,18,11,10
3,Green,3,7,6.1938,8,6,9,213.0,7,6,0
3,Orange,7,7,9.97002999,6,6,7,143.0,2,10,10
4,Purple,5,8,40.06585672790948,16,13,21,446.553,39,4,0
4,White,2,12,6.348165351376752,13,11,20,67.0,29,15,10
4,Pink,1,3,2.5168805999999995,9,6,12,23.4765,15,8,0
4,Red,6,14,33.83033966016996,10,10,11,1400.0,6,10,10
4,Yellow,3,9,22.037474913488065,13,13,18,1380.0,26,11,10
4,Blue,7,13,44.481639098736004,13,13,16,332.0,25,12,10
4,Green,3,8,6.1876062,8,6,9,213.0,7,7,0
4,Orange,7,8,9.96005996001,6,5,5,143.0,1,10,10
5,Purple,5,6,41.2001432482295,20,15,22,446.106447,52,0,0
5,White,2,12,6.475128658404287,14,12,22,67.0,34,15,10
5,Pink,1,4,2.5646509937879993,10,7,13,23.4765,19,8,0
5,Red,6,14,33.83033966016996,10,10,11,1400.0,6,12,10
5,Yellow,3,10,22.45574618734607,14,14,21,1380.0,31,11,10
5,Blue,7,15,45.32590060883001,14,14,17,332.0,30,12,10
5,Green,3,9,6.1814185938,8,6,12,213.0,10,8,0
5,Orange,7,8,9.940149800149939,6,5,7,143.0,0,10,10
6,Purple,5,5,41.49428970982341,23,17,22,445.660340553,60,0,0
6,White,2,14,6.468653529745883,14,12,23,67.0,36,15,10
6,Pink,1,5,2.6655946310430974,12,9,13,23.4765,23,9,0
6,Red,6,14,34.43796706741307,11,11,11,1400.0,5,12,10
6,Yellow,3,11,22.881956249981897,15,15,22,1380.0,34,11,10
6,Blue,7,18,46.093860016167035,15,15,20,332.0,36,12,10
6,Green,3,10,6.1752371752062,8,6,13,213.0,11,8,0
