day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,38.352000000000004,11,11,14,447.0,15,12,0
2,White,2,6,6.12,11,9,12,67.0,14,11,10
2,Pink,1,4,2.652,9,7,9,23.5,11,9,0
2,Red,6,10,34.0,10,10,11,1400.0,7,13,10
2,Yellow,3,8,20.0,8,8,9,1380.0,8,8,10
2,Blue,7,11,41.958,10,10,16,332.0,15,14,10
2,Green,3,6,6.324000000000001,9,7,9,213.0,9,7,0
2,Orange,7,7,9.99,6,6,6,143.0,5,8,10
3,Purple,5,6,39.119040000000005,12,12,18,447.0,21,13,0
3,White,2,7,6.367248,13,11,15,67.0,23,12,10
3,Pink,1,4,2.7591408000000004,11,9,10,23.5,16,10,0
3,Red,6,11,33.966,10,10,12,1400.0,8,13,10
3,Yellow,3,8,20.0,8,8,11,1380.0,10,10,10
3,Blue,7,12,42.75436284,11,11,21,332.0,21,17,10
3,Green,3,8,6.572910110400001,11,9,10,213.0,15,7,0
3,Orange,7,8,9.99,6,6,5,143.0,5,11,10
4,Purple,5,6,39.119040000000005,12,12,23,447.0,25,15,0
4,White,2,8,6.360880752,13,11,20,67.0,27,14,10
4,Pink,1,4,2.8143236160000002,12,10,11,23.5,19,11,0
4,Red,6,12,33.932034,10,10,13,1400.0,9,14,10
4,Yellow,3,8,21.22416,11,11,12,1380.0,17,11,10
4,Blue,7,13,42.71160847716,11,11,27,332.0,27,21,10
4,Green,3,9,6.697663944295394,12,10,11,213.0,18,8,0
4,Orange,7,9,10.601467920000001,9,9,8,143.0,14,12,10
5,Purple,5,6,39.119040000000005,12,12,27,447.0,30,16,0
5,White,2,8,6.360880752,13,11,24,67.0,31,15,10
5,Pink,1,4,2.8706100883200003,13,11,14,23.5,24,12,0
5,Red,6,13,34.57606400532,11,11,13,1400.0,11,15,10
5,Yellow,3,8,21.648643200000002,12,12,13,1380.0,20,12,10
5,Blue,7,14,42.668896868682836,11,11,31,332.0,31,23,10
5,Green,3,11,6.824785605958121,13,11,12,213.0,22,9,0
5,Orange,7,10,10.59086645208,9,9,9,143.0,15,14,10
6,Purple,5,6,39.119040000000005,12,12,31,447.0,34,17,0
6,White,2,9,6.354519871248,13,11,29,67.0,36,16,10
6,Pink,1,6,2.9280222900864006,14,12,17,23.5,31,13,0
6,Red,6,14,34.54148794131468,11,11,18,1400.0,16,16,10
6,Yellow,3,9,22.950739639632616,15,15,16,1380.0,29,13,10
6,Blue,7,15,42.62622797181415,11,11,36,332.0,35,25,10
6,Green,3,12,7.093406437494391,15,13,15,213.0,29,10,0
6,Orange,7,11,10.58027558562792,9,9,11,143.0,17,16,10
