day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,7,38.352000000000004,11,11,16,447.0,17,11,0
2,White,2,6,6.0,10,8,12,67.0,13,10,10
2,Pink,1,5,2.5974,8,6,9,23.5,10,8,0
2,Red,6,11,33.966,10,10,11,1400.0,7,11,10
2,Yellow,3,8,19.98,8,8,9,1380.0,7,8,10
2,Blue,7,9,42.041999999999994,10,10,12,332.0,13,10,10
2,Green,3,7,6.3176760000000005,9,7,8,213.0,8,6,0
2,Orange,7,7,9.99,6,6,5,143.0,4,7,10
3,Purple,5,9,39.07992096,12,12,19,447.0,21,12,0
3,White,2,6,6.0,10,8,12,67.0,14,11,10
3,Pink,1,6,2.5948026,8,6,11,23.5,12,8,0
3,Red,6,12,33.932034,10,10,13,1400.0,9,12,10
3,Yellow,3,9,20.3592204,9,9,11,1380.0,11,8,10
3,Blue,7,9,42.04195795799999,10,10,14,332.0,16,10,10
3,Green,3,8,6.311358324,9,7,10,213.0,11,6,0
3,Orange,7,8,9.98001,6,6,3,143.0,2,7,10
4,Purple,5,10,39.8216578598208,13,13,20,447.0,24,12,0
4,White,2,7,5.994,10,8,13,67.0,15,12,10
4,Pink,1,7,2.5922077974,8,6,13,23.5,14,8,0
4,Red,6,13,33.898101966,10,10,14,1400.0,10,12,10
4,Yellow,3,10,20.745638403192004,10,10,13,1380.0,15,9,10
4,Blue,7,10,41.99991600004199,10,10,15,332.0,17,11,10
4,Green,3,9,6.305046965676,9,7,13,213.0,15,6,0
4,Orange,7,9,9.97002999,6,6,3,143.0,2,7,10
5,Purple,5,12,39.781836201960985,13,13,21,447.0,25,12,0
5,White,2,8,5.9880059999999995,10,8,14,67.0,17,13,10
5,Pink,1,8,2.5896155896026,8,6,14,23.5,16,8,0
5,Red,6,14,33.864203864033996,10,10,15,1400.0,11,12,10
5,Yellow,3,11,20.724892764788812,10,10,14,1380.0,16,9,10
5,Blue,7,10,41.999874000125985,10,10,18,332.0,21,11,10
5,Green,3,10,6.298741918710324,9,7,17,213.0,21,6,0
5,Orange,7,10,9.96005996001,6,6,1,143.0,1,8,10
6,Purple,5,14,40.53689545307421,14,14,25,447.0,30,13,0
6,White,2,9,5.982017994,10,8,18,67.0,22,14,10
6,Pink,1,9,2.587025974012997,8,6,17,23.5,19,8,0
6,Red,6,15,33.83033966016996,10,10,18,1400.0,14,13,10
6,Yellow,3,12,21.118251229464505,11,11,16,1380.0,20,10,10
6,Blue,7,10,41.99983200025198,10,10,18,332.0,22,12,10
6,Green,3,11,6.292443176791614,9,7,20,213.0,25,6,0
