day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,7,37.562400000000004,10,10,12,447.0,12,10,0
2,White,2,6,6.0,10,8,14,67.0,14,10,10
2,Pink,1,4,2.6,8,6,9,23.5,9,8,0
2,Red,6,10,35.3736,12,12,13,1400.0,13,10,10
2,Yellow,3,8,19.98,8,8,10,1380.0,8,8,10
2,Blue,7,11,42.797160000000005,11,11,13,332.0,15,10,10
2,Green,3,6,6.324000000000001,9,7,10,213.0,10,6,0
2,Orange,7,6,10.0,6,6,9,143.0,8,7,10
3,Purple,5,8,37.524837600000005,10,10,14,447.0,14,10,0
3,White,2,6,6.0,10,8,17,67.0,17,11,10
3,Pink,1,5,2.5974,8,6,12,23.5,12,8,0
3,Red,6,11,36.044990928000004,13,13,14,1400.0,16,10,10
3,Yellow,3,8,21.202935840000002,11,11,12,1380.0,16,8,10
3,Blue,7,11,43.653103200000004,12,12,16,332.0,20,10,10
3,Green,3,7,6.3176760000000005,9,7,12,213.0,12,6,0
3,Orange,7,7,10.1898,7,7,11,143.0,12,7,10
4,Purple,5,9,37.4873127624,10,10,16,447.0,16,10,0
4,White,2,7,6.11388,11,9,21,67.0,23,11,10
4,Pink,1,6,2.5948026,8,6,12,23.5,12,9,0
4,Red,6,12,36.729124855813446,14,14,15,1400.0,19,10,10
4,Yellow,3,9,21.605367562243202,12,12,16,1380.0,22,8,10
4,Blue,7,12,43.6094500968,12,12,19,332.0,23,10,10
4,Green,3,8,6.437585490480001,10,8,17,213.0,19,6,0
4,Orange,7,8,10.1796102,7,7,12,143.0,13,7,10
5,Purple,5,10,37.4498254496376,10,10,17,447.0,17,10,0
5,White,2,7,6.11388,11,9,24,67.0,26,12,10
5,Pink,1,7,2.5922077974,8,6,14,23.5,14,10,0
5,Red,6,13,36.692395730957635,14,14,17,1400.0,21,10,10
5,Yellow,3,10,21.583762194680958,12,12,20,1380.0,26,8,10
5,Blue,7,13,43.5658406467032,12,12,22,332.0,26,10,10
5,Green,3,8,6.437585490480001,10,8,20,213.0,22,7,0
5,Orange,7,9,10.169430589800001,7,7,16,143.0,17,7,10
6,Purple,5,10,37.4498254496376,10,10,19,447.0,19,11,0
6,White,2,8,6.10776612,11,9,28,67.0,30,12,10
6,Pink,1,8,2.5896155896026,8,6,16,23.5,16,11,0
6,Red,6,14,37.38881740193121,15,15,20,1400.0,26,10,10
6,Yellow,3,11,22.43329044115872,14,14,24,1380.0,34,8,10
6,Blue,7,14,45.280574708221174,14,14,25,332.0,33,10,10
6,Green,3,9,6.5597708630893115,11,9,23,213.0,27,7,0
