day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,10,447.0,10,10,0
2,White,2,6,6.0,10,8,11,67.0,11,10,10
2,Pink,1,4,2.6,8,6,8,23.5,7,10,0
2,Red,6,10,34.0,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
2,Blue,7,10,42.0,10,10,10,332.0,10,10,10
2,Green,3,6,6.2,8,5,6,213.0,6,3,0
2,Orange,7,6,10.0,6,6,8,143.0,8,7,10
3,Purple,5,6,37.6,10,10,10,447.0,4,10,0
3,White,2,6,6.0,10,8,13,67.0,14,10,10
3,Pink,1,4,2.6,8,6,9,23.5,8,11,0
3,Red,6,8,33.66,10,8,7,1398.6,9,6,10
3,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
3,Blue,7,10,42.0,10,10,11,332.0,12,10,10
3,Green,3,9,6.1938,8,5,7,213.0,9,3,0
3,Orange,7,6,10.0,6,6,8,143.0,9,7,10
4,Purple,5,0,34.592000000000006,10,2,3,178.8,7,6,0
4,White,2,4,5.699999999999999,10,7,16,66.933,19,10,10
4,Pink,1,5,2.6,8,6,11,23.5,11,11,0
4,Red,6,8,33.66,10,8,7,1398.6,9,7,10
4,Yellow,3,6,19.98,8,6,3,1380.0,0,8,10
4,Blue,7,11,42.0,10,10,13,332.0,10,10,10
4,Green,3,9,6.1938,8,5,7,213.0,9,3,0
4,Orange,7,6,10.0,6,6,10,143.0,11,8,10
5,Purple,5,0,34.592000000000006,10,2,6,178.8,9,8,0
5,White,2,4,5.699999999999999,10,7,18,66.933,21,10,10
5,Pink,1,6,2.5974,8,6,12,23.5,12,12,0
5,Red,6,9,33.66,10,8,7,1398.6,10,7,10
5,Yellow,3,6,20.3796,9,6,1,1380.0,2,5,10
5,Blue,7,11,42.84,11,11,15,332.0,14,10,10
5,Green,3,9,6.1938,8,5,7,213.0,9,3,0
5,Orange,7,7,10.0,6,6,11,143.0,13,8,10
6,Purple,5,0,32.46113280000001,11,0,0,71.52000000000001,13,4,0
6,White,2,5,5.755859999999999,10,7,18,66.933,22,10,10
6,Pink,1,6,2.5974,8,6,15,23.5,14,15,0
6,Red,6,11,34.2645336,11,7,5,1398.6,13,7,10
6,Yellow,3,6,20.163576239999998,8,5,0,1380.0,3,5,10
6,Blue,7,13,42.797160000000005,11,11,14,332.0,15,10,10
6,Green,3,9,6.1938,8,5,7,213.0,9,3,0
6,Orange,7,7,10.0,6,4,6,143.0,4,8,10
7,Purple,5,0,27.47510280192001,11,0,0,11.443200000000003,19,0,0
