day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,11,447.0,11,11,0
2,White,2,0,5.5200000000000005,10,0,2,26.8,13,6,10
2,Pink,1,5,2.6,8,6,9,23.5,5,8,10
2,Red,6,10,34.0,10,10,11,1400.0,7,10,10
2,Yellow,3,7,20.0,8,8,9,1380.0,7,8,10
2,Blue,7,9,42.0,10,10,11,332.0,11,10,10
2,Green,3,6,6.2,8,6,9,213.0,7,6,0
2,Orange,7,7,10.0,6,4,2,143.0,0,7,10
3,Purple,5,7,37.487275200000006,10,8,9,447.0,11,12,0
3,White,2,0,5.52552,10,0,3,26.8,15,6,10
3,Pink,1,6,2.6,8,6,10,23.5,6,10,10
3,Red,6,10,34.0,10,10,11,1400.0,7,11,10
3,Yellow,3,7,20.0,8,8,9,1380.0,7,9,10
3,Blue,7,3,38.64,10,2,4,132.8,15,6,10
3,Green,3,6,6.2,8,6,10,213.0,8,6,0
3,Orange,7,7,10.0,6,2,0,143.0,0,7,10
4,Purple,5,2,31.89604810392,10,2,3,438.06,14,10,0
4,White,2,0,5.3597544,8,0,2,26.8,7,6,10
4,Pink,1,7,2.5974,8,6,10,23.5,6,11,10
4,Red,6,10,33.66,9,9,11,1400.0,0,11,10
4,Yellow,3,7,20.0,8,8,10,1380.0,7,10,10
4,Blue,7,2,38.2153464,10,0,0,132.6672,16,4,10
4,Green,3,6,6.2,8,6,10,213.0,8,6,0
4,Orange,7,2,9.781398,6,0,0,142.714143,0,0,10
5,Purple,5,3,31.89604810392,10,2,3,438.06,11,10,10
5,White,2,0,5.024563935431041,9,0,0,10.72,12,2,10
5,Pink,1,7,2.5974,8,6,11,23.5,7,11,10
5,Red,6,9,33.693659999999994,9,9,10,1400.0,0,11,10
5,Yellow,3,8,20.4,9,9,10,1380.0,11,10,10
5,Blue,7,0,35.158118688,10,0,0,53.066880000000005,18,0,10
5,Green,3,6,6.2,8,6,10,213.0,8,6,0
5,Orange,7,0,9.68358402,6,0,0,142.571428857,0,0,10
6,Purple,5,3,31.89604810392,10,2,6,438.06,15,10,10
6,White,2,0,4.9743182960767305,8,0,1,10.72,11,4,10
6,Pink,1,7,2.5974,8,5,9,23.5,7,8,10
6,Red,6,10,33.65996634,9,9,12,1400.0,2,11,10
6,Yellow,3,8,20.808,10,10,10,1380.0,12,12,10
6,Blue,7,0,35.087802450624004,10,0,0,53.066880000000005,18,0,10
6,Green,3,6,6.2,8,6,10,213.0,7,6,0
6,Orange,7,1,9.571357091358612,5,1,1,142.571428857,3,0,10
7,Purple,5,0,29.3443642556064,10,0,0,175.22400000000002,17,6,10
