day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,9,447.0,10,10,0
2,White,2,6,6.0,10,8,11,67.0,11,10,10
2,Pink,1,3,2.6,8,6,12,23.5,13,9,0
2,Red,6,9,34.71468,11,11,10,1400.0,9,10,10
2,Yellow,3,7,20.808,10,10,8,1380.0,10,8,10
2,Blue,7,10,42.84,11,11,11,332.0,13,10,10
2,Green,3,7,6.2,8,6,9,213.0,6,7,0
2,Orange,7,7,10.0,6,6,5,143.0,4,7,10
3,Purple,5,8,37.6,10,10,9,447.0,10,10,0
3,White,2,6,5.9399999999999995,9,7,11,67.0,10,10,10
3,Pink,1,4,2.7050400000000003,10,8,12,23.5,17,9,0
3,Red,6,8,33.572287227679205,9,7,8,1400.0,6,10,10
3,Yellow,3,7,21.22416,11,11,9,1380.0,13,8,10
3,Blue,7,11,42.797160000000005,11,11,11,332.0,13,10,10
3,Green,3,5,6.0078000000000005,9,6,8,212.787,9,7,0
3,Orange,7,8,9.999989999999999,6,6,4,143.0,6,7,10
4,Purple,5,8,39.119040000000005,12,12,12,447.0,17,10,0
4,White,2,6,6.0588,10,8,13,67.0,14,10,10
4,Pink,1,4,2.8143236160000002,12,10,13,23.5,22,10,0
4,Red,6,8,34.24373297223279,10,8,8,1400.0,8,10,10
4,Yellow,3,7,21.648643200000002,12,12,10,1380.0,17,8,10
4,Blue,7,11,42.797160000000005,11,11,13,332.0,16,10,10
4,Green,3,4,5.70170259,9,5,8,212.57421300000001,12,6,0
4,Orange,7,7,10.189789810199999,7,7,3,143.0,4,7,10
5,Purple,5,9,39.901420800000004,13,13,14,447.0,22,10,0
5,White,2,6,6.0588,10,8,15,67.0,16,10,10
5,Pink,1,3,2.6709338277648,12,9,13,23.4765,24,9,0
5,Red,6,7,34.27797670520502,10,8,7,1400.0,2,10,10
5,Yellow,3,7,22.081616064000002,13,13,12,1380.0,21,8,10
5,Blue,7,10,42.797160000000005,11,11,14,332.0,17,10,10
5,Green,3,3,5.6390408785359,9,3,5,212.361638787,14,2,0
5,Orange,7,6,10.179600020389799,7,7,5,143.0,4,7,0
6,Purple,5,10,39.861519379200004,13,13,14,447.0,21,10,0
6,White,2,6,6.0588,10,8,19,67.0,20,10,10
6,Pink,1,3,2.6709338277648,12,9,14,23.4765,25,9,0
6,Red,6,7,33.24963740404887,8,6,10,1400.0,4,10,10
6,Yellow,3,7,22.081616064000002,13,13,9,1380.0,0,8,10
6,Blue,7,11,43.216572168000006,11,11,14,332.0,17,10,10
6,Green,3,3,5.6390408785359,9,3,5,212.361638787,14,2,0
