day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,7,37.6,10,10,14,447.0,14,12,0
2,White,2,6,6.0,10,8,11,67.0,10,11,10
2,Pink,1,4,2.652,9,7,10,23.5,12,9,0
2,Red,6,11,33.966,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.4,9,9,10,1380.0,10,8,10
2,Blue,7,10,42.0,10,10,11,332.0,10,11,10
2,Green,3,6,6.2,8,6,10,213.0,8,7,0
2,Orange,7,5,10.0,6,6,7,143.0,6,7,10
3,Purple,5,7,37.6,10,10,15,447.0,15,12,0
3,White,2,6,6.0,10,8,11,67.0,10,11,10
3,Pink,1,4,2.652,9,7,11,23.5,13,9,0
3,Red,6,12,33.932034,10,10,10,1400.0,6,10,10
3,Yellow,3,7,20.4,9,9,10,1380.0,10,8,10
3,Blue,7,11,41.958,10,10,11,332.0,10,11,10
3,Green,3,7,6.1938,8,6,10,213.0,9,7,0
3,Orange,7,6,9.99,6,6,7,143.0,6,7,10
4,Purple,5,7,37.5248,10,8,17,447.0,19,13,0
4,White,2,6,6.12,11,9,12,67.0,13,11,10
4,Pink,1,4,2.652,9,7,12,23.5,14,9,0
4,Red,6,13,33.898101966,10,10,10,1400.0,6,10,10
4,Yellow,3,7,20.808,10,10,13,1380.0,14,10,10
4,Blue,7,11,42.79716,11,11,12,332.0,12,12,10
4,Green,3,7,6.3176760000000005,9,7,12,213.0,13,8,0
4,Orange,7,7,9.98001,6,6,7,143.0,6,7,10
5,Purple,5,7,37.5248,10,8,19,447.0,22,14,0
5,White,2,6,6.12,11,9,13,67.0,14,11,10
5,Pink,1,4,2.652,9,7,13,23.5,15,9,0
5,Red,6,13,33.898101966,10,10,10,1400.0,6,10,10
5,Yellow,3,7,20.808,10,10,13,1380.0,14,10,10
5,Blue,7,11,42.3691884,10,10,13,332.0,11,14,10
5,Green,3,8,6.311358324,9,7,12,213.0,13,8,0
5,Orange,7,7,9.6806097,4,4,7,143.0,4,8,10
6,Purple,5,7,37.4497504,10,6,18,447.0,24,14,0
6,White,2,6,6.12,11,9,14,67.0,16,11,10
6,Pink,1,4,2.652,9,7,13,23.5,15,9,0
6,Red,6,13,33.898101966,10,10,10,1400.0,4,10,10
6,Yellow,3,7,20.808,10,10,14,1380.0,16,10,10
6,Blue,7,12,42.3268192116,10,10,13,332.0,11,14,10
6,Green,3,8,6.311358324,9,7,13,213.0,13,9,0
6,Orange,7,7,9.6806097,4,4,4,143.0,2,8,10
7,Purple,5,7,37.3748508992,10,4,19,447.0,27,16,0
7,White,2,6,6.12,11,9,15,67.0,17,11,10
