day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,16,447.0,14,13,0
2,White,2,6,6.12,11,9,13,67.0,14,11,10
2,Pink,1,4,2.6,8,6,8,23.5,8,8,0
2,Red,6,9,34.0,10,10,11,1400.0,7,10,10
2,Yellow,3,7,20.4,9,9,10,1380.0,10,9,10
2,Blue,7,10,42.0,10,10,14,332.0,13,12,10
2,Green,3,7,6.2,8,6,9,213.0,8,7,0
2,Orange,7,7,9.99,6,6,6,143.0,5,7,10
3,Purple,5,6,37.6,10,10,23,447.0,17,19,0
3,White,2,6,6.2424,12,10,17,67.0,20,12,10
3,Pink,1,4,2.652,9,7,11,23.5,12,10,0
3,Red,6,9,34.0,10,10,11,1400.0,7,10,10
3,Yellow,3,7,21.22416,11,11,13,1380.0,17,10,10
3,Blue,7,10,42.84,11,11,18,332.0,18,14,10
3,Green,3,7,6.324000000000001,9,7,10,213.0,11,8,0
3,Orange,7,8,9.98001,6,6,7,143.0,6,7,10
4,Purple,5,6,38.352000000000004,11,11,25,447.0,21,20,0
4,White,2,6,6.2424,12,10,18,67.0,21,12,10
4,Pink,1,4,2.652,9,7,12,23.5,13,10,0
4,Red,6,10,33.966,10,10,11,1400.0,7,10,10
4,Yellow,3,7,21.648643200000002,12,12,15,1380.0,21,10,10
4,Blue,7,10,42.84,11,11,19,332.0,19,14,10
4,Green,3,7,6.324000000000001,9,7,11,213.0,11,10,0
4,Orange,7,9,9.97002999,6,6,7,143.0,6,7,10
5,Purple,5,6,38.352000000000004,11,11,26,447.0,22,20,0
5,White,2,6,6.2424,12,10,19,67.0,22,12,10
5,Pink,1,4,2.652,9,7,13,23.5,14,10,0
5,Red,6,11,33.932034,10,10,11,1400.0,7,10,10
5,Yellow,3,7,22.081616064000002,13,13,16,1380.0,24,10,10
5,Blue,7,10,43.6968,12,12,19,332.0,21,14,10
5,Green,3,7,6.324000000000001,9,7,11,213.0,11,10,0
5,Orange,7,10,9.96005996001,6,6,7,143.0,6,7,10
6,Purple,5,6,38.352000000000004,11,11,27,447.0,23,20,0
6,White,2,6,6.2424,12,10,20,67.0,23,12,10
6,Pink,1,4,2.652,9,7,13,23.5,14,10,0
6,Red,6,12,33.898101966,10,10,11,1400.0,7,11,10
6,Yellow,3,7,22.081616064000002,13,13,16,1380.0,24,10,10
6,Blue,7,10,43.6968,12,12,19,332.0,21,14,10
6,Green,3,7,6.324000000000001,9,7,11,213.0,11,10,0
6,Orange,7,11,9.95009990004999,6,6,7,143.0,6,7,10
7,Purple,5,6,38.352000000000004,11,11,29,447.0,25,20,0
